SPEC,0,1
A131-DH36TM,0.0,1.0
A283-C,1.0,5.0
A516-60,1.0,1.0
A709-36,1.0,0.0
AB/A,3.0,4.0
AB/AH32,4.0,1.0
AB/B,3.0,3.0
AB/EH32-TM,2.0,0.0
AB/EH36-TM,16.0,1.0
API-2W-50T,2.0,0.0
BV-A,1.0,0.0
BV-AH32,9.0,5.0
BV-AH32-TM,3.0,0.0
BV-AH36-TL,2.0,1.0
BV-AH36-TM,0.0,1.0
BV-B,22.0,6.0
BV-EH32-TM,1.0,0.0
BV-EH36-TM,34.0,1.0
CCS-B,0.0,1.0
COMMON,26.0,2.0
GL-A,2.0,1.0
GL-A32,7.0,1.0
GL-A32-TM,3.0,1.0
GL-A36-TM,11.0,0.0
GL-D36-TM,6.0,2.0
GL-E32-TM,5.0,1.0
GL-E36-TM,15.0,1.0
JS-SM400A,0.0,2.0
JS-SM400B,2.0,3.0
JS-SM490A,6.0,25.0
JS-SM490YA,1.0,4.0
JS-SM490YB,49.0,35.0
JS-SS400,2.0,17.0
KR-A,10.0,17.0
KR-AH32,3.0,0.0
KR-B,0.0,1.0
KS-HSB500,2.0,0.0
KS-HSB600,1.0,0.0
KS-SM400A,1.0,3.0
KS-SM400B,2.0,2.0
KS-SM490A,0.0,5.0
KS-SM490B,4.0,3.0
KS-SS400,2.0,3.0
LR-A,43.0,11.0
LR-AH32,23.0,10.0
LR-AH36,1.0,0.0
LR-AH36-TM,1.0,0.0
LR-B,7.0,6.0
LR-EH32-TM,0.0,1.0
LR-EH36-TM,2.0,0.0
NK-KA,3.0,2.0
NK-KA32,11.0,1.0
NK-KA32-TM,1.0,0.0
NK-KD36-TM,2.0,0.0
NV-A,34.0,14.0
NV-A32,24.0,9.0
NV-A32-TM,2.0,1.0
NV-A36-TM,2.0,0.0
NV-B,1.0,2.0
NV-D32-TM,4.0,0.0
NV-D36-TM,4.0,1.0
NV-E32-TM,2.0,0.0
NV-E36-TM,5.0,0.0
PILAC-BT33,38.0,2.0
SA283-C,11.0,10.0
V42JBN3,3.0,1.0
