Column1,공급사,과세/면세,담기,매입가,상품명(기본),상품코드,재입고알림,제조사,카테고리,reg_카테고리,대분류,판매가,품절여부,후기,한식,중식,일식,양식,분식,카페
802,패커스,과세,24,49500,195파이 미니탕용기 투톤 300개 1set(2박스),1085,사용함,자체제작,"038 : 한식(분식) 용기
038001 : 한식(분식) 용기 > 탕/찜/죽/면용기
040 : 일식 용기
040001 : 일식 용기 > 탕/찜/면용기/회접시
041 : 양식 용기
041001 : 양식 용기 > 탕/찜/죽/면용기
038001001 : 한식(분식) 용기 > 탕/찜/죽/면용기 > 탕용기
040001001 : 일식 용기 > 탕/찜/면용기/회접시 > 탕용기
041001001 : 양식 용기 > 탕/찜/죽/면용기 > 탕용기
039 : 중식 용기
039001 : 중식 용기 > 면/볶음밥용기
040001002 : 일식 용기 > 탕/찜/면용기/회접시 > 찜용기
040001003 : 일식 용기 > 탕/찜/면용기/회접시 > 면용기
041001002 : 양식 용기 > 탕/찜/죽/면용기 > 찜용기
041001003 : 양식 용기 > 탕/찜/죽/면용기 > 죽용기
041001004 : 양식 용기 > 탕/찜/죽/면용기 > 면용기
061 : vol.4 Catalogue
061016 : vol.4 Catalogue > 카달로그_17",회접시 면 탕 탕용기 죽 찜 일식 양식 용기 중식 한식(분식) 볶음밥용기 면용기 죽용기 찜용기,용기,68970,정상,18,1,1,0,0,1,0
803,패커스,과세,12,68200,고강도 감자탕용기 소 200개 1set(2박스),1084,사용함,자체제작,"038 : 한식(분식) 용기
038001 : 한식(분식) 용기 > 탕/찜/죽/면용기
040 : 일식 용기
040001 : 일식 용기 > 탕/찜/면용기/회접시
041 : 양식 용기
041001 : 양식 용기 > 탕/찜/죽/면용기
038001001 : 한식(분식) 용기 > 탕/찜/죽/면용기 > 탕용기
040001001 : 일식 용기 > 탕/찜/면용기/회접시 > 탕용기
041001001 : 양식 용기 > 탕/찜/죽/면용기 > 탕용기
061 : vol.4 Catalogue
061017 : vol.4 Catalogue > 카달로그_18",회접시 탕 탕용기 죽 찜 일식 양식 용기 한식(분식) 면용기,용기,87720,정상,8,1,1,0,0,1,0
804,패커스,과세,8,72600,고강도 감자탕용기 중 200개 1set(2박스),1083,사용함,자체제작,"038 : 한식(분식) 용기
038001 : 한식(분식) 용기 > 탕/찜/죽/면용기
040 : 일식 용기
040001 : 일식 용기 > 탕/찜/면용기/회접시
041 : 양식 용기
041001 : 양식 용기 > 탕/찜/죽/면용기
038001001 : 한식(분식) 용기 > 탕/찜/죽/면용기 > 탕용기
040001001 : 일식 용기 > 탕/찜/면용기/회접시 > 탕용기
041001001 : 양식 용기 > 탕/찜/죽/면용기 > 탕용기
061 : vol.4 Catalogue
061017 : vol.4 Catalogue > 카달로그_18",회접시 탕 탕용기 죽 찜 일식 양식 용기 한식(분식) 면용기,용기,93120,정상,6,1,1,0,0,1,0
805,패커스,과세,2,77000,고강도 감자탕용기 대 200개 1set(2박스),1082,사용함,자체제작,"038 : 한식(분식) 용기
038001 : 한식(분식) 용기 > 탕/찜/죽/면용기
040 : 일식 용기
040001 : 일식 용기 > 탕/찜/면용기/회접시
041 : 양식 용기
041001 : 양식 용기 > 탕/찜/죽/면용기
038001001 : 한식(분식) 용기 > 탕/찜/죽/면용기 > 탕용기
040001001 : 일식 용기 > 탕/찜/면용기/회접시 > 탕용기
041001001 : 양식 용기 > 탕/찜/죽/면용기 > 탕용기
061 : vol.4 Catalogue
061017 : vol.4 Catalogue > 카달로그_18",회접시 탕 탕용기 죽 찜 일식 양식 용기 한식(분식) 면용기,용기,100920,정상,1,1,1,0,0,1,0
806,패커스,과세,129,44550,195파이 탕용기 소 300개 1set(2박스),1077,사용함,자체제작,"038 : 한식(분식) 용기
038001 : 한식(분식) 용기 > 탕/찜/죽/면용기
040 : 일식 용기
040001 : 일식 용기 > 탕/찜/면용기/회접시
041 : 양식 용기
041001 : 양식 용기 > 탕/찜/죽/면용기
038001001 : 한식(분식) 용기 > 탕/찜/죽/면용기 > 탕용기
040001001 : 일식 용기 > 탕/찜/면용기/회접시 > 탕용기
041001001 : 양식 용기 > 탕/찜/죽/면용기 > 탕용기
047 : BEST상품
039 : 중식 용기
039001 : 중식 용기 > 면/볶음밥용기
040001002 : 일식 용기 > 탕/찜/면용기/회접시 > 찜용기
040001003 : 일식 용기 > 탕/찜/면용기/회접시 > 면용기
041001002 : 양식 용기 > 탕/찜/죽/면용기 > 찜용기
041001003 : 양식 용기 > 탕/찜/죽/면용기 > 죽용기
041001004 : 양식 용기 > 탕/찜/죽/면용기 > 면용기
061 : vol.4 Catalogue
061016 : vol.4 Catalogue > 카달로그_17",회접시 면 탕 탕용기 죽 찜 일식 양식 용기 중식 한식(분식) 볶음밥용기 면용기 죽용기 찜용기,용기,57850,정상,80,1,0,0,0,1,0
807,패커스,과세,3,47300,"92파이 20온스 약 560ml 1,000개 1박스",1074,사용함,자체제작,"043 : 베이커리/카페 용기
043003 : 베이커리/카페 용기 > 종이컵/아이스컵/뚜껑
043003002 : 베이커리/카페 용기 > 종이컵/아이스컵/뚜껑 > 아이스컵
061 : vol.4 Catalogue
061009 : vol.4 Catalogue > 카달로그_9",베이커리 종이컵 뚜껑 아이스컵 카페 용기,용기,57860,정상,5,0,0,0,0,0,1
809,패커스,과세,52,51700,"105파이 다용도컵 세트 5호 대 370ml 블랙 PS-1,000개 1set(2박스)",1071,사용함,자체제작,"038 : 한식(분식) 용기
038002 : 한식(분식) 용기 > 소스/국/밥용기
039 : 중식 용기
039003 : 중식 용기 > 소스/국/밥용기
040 : 일식 용기
040002 : 일식 용기 > 소스/국/밥용기
041 : 양식 용기
041002 : 양식 용기 > 소스/국/밥용기
038003 : 한식(분식) 용기 > 떡/반찬용기
038003002 : 한식(분식) 용기 > 떡/반찬용기 > 반찬용기
061 : vol.4 Catalogue
061015 : vol.4 Catalogue > 카달로그_16",밥용기 국 반찬용기 떡 일식 양식 용기 중식 한식(분식) 소스,용기,64070,정상,14,1,1,1,0,1,0
810,패커스,과세,27,49500,"105파이 다용도컵 세트 5호 중 300ml 블랙 PS-1,000개 1set(2박스)",1070,사용함,자체제작,"038 : 한식(분식) 용기
038002 : 한식(분식) 용기 > 소스/국/밥용기
039 : 중식 용기
039003 : 중식 용기 > 소스/국/밥용기
040 : 일식 용기
040002 : 일식 용기 > 소스/국/밥용기
041 : 양식 용기
041002 : 양식 용기 > 소스/국/밥용기
038003 : 한식(분식) 용기 > 떡/반찬용기
038003002 : 한식(분식) 용기 > 떡/반찬용기 > 반찬용기
061 : vol.4 Catalogue
061015 : vol.4 Catalogue > 카달로그_16",밥용기 국 반찬용기 떡 일식 양식 용기 중식 한식(분식) 소스,용기,61470,정상,47,1,1,1,0,1,0
811,패커스,과세,17,47300,"105파이 다용도컵 세트 5호 소 250ml 블랙 PS-1,000개 1set(2박스)",1069,사용함,자체제작,"038 : 한식(분식) 용기
038002 : 한식(분식) 용기 > 소스/국/밥용기
039 : 중식 용기
039003 : 중식 용기 > 소스/국/밥용기
040 : 일식 용기
040002 : 일식 용기 > 소스/국/밥용기
041 : 양식 용기
041002 : 양식 용기 > 소스/국/밥용기
038003 : 한식(분식) 용기 > 떡/반찬용기
038003002 : 한식(분식) 용기 > 떡/반찬용기 > 반찬용기
061 : vol.4 Catalogue
061015 : vol.4 Catalogue > 카달로그_16",밥용기 국 반찬용기 떡 일식 양식 용기 중식 한식(분식) 소스,용기,59670,정상,15,1,1,1,0,1,0
812,패커스,과세,1,61600,270파이 원형 접시 소 백색 200개 1박스,1057,사용함,자체제작,"039 : 중식 용기
039002 : 중식 용기 > 요리접시/탕/찜
052 : 초특가 SALE",탕 찜 요리접시 용기 중식,용기,69500,정상,2,0,1,0,0,0,0
