,ID,나이,성별,유입경로,유입기기,회원구분,구매여부,주소(동/읍/면),AgeGroup
0,cgh1385,53,남자,블로그광고,모바일,일반,1,전라북도,50-55
1,pjkl77,28,남자,이메일광고,PC,사업자,1,전라북도,25-30
2,bear011,40,남자,SNS광고,모바일,사업자,1,경기도,40-45
3,kim0750,44,남자,SNS광고,PC,사업자,1,경상북도,40-45
4,nonane9979,45,남자,블로그광고,PC,사업자,1,부산광역시,45-50
5,91559380@n,47,남자,블로그광고,PC,일반,1,광주광역시,45-50
6,danbi531,60,남자,인터넷기사광고,PC,일반,1,경기도,60-65
7,phk4650,47,여자,SNS광고,모바일,일반,1,인천광역시,45-50
8,tokio,44,남자,블로그광고,PC,사업자,1,서울특별시,40-45
9,47545621@n,47,남자,SNS광고,모바일,일반,1,인천광역시,45-50
10,gms112233,47,남자,SNS광고,모바일,일반,1,부산광역시,45-50
11,yes3825,47,여자,블로그광고,PC,일반,1,경기도,45-50
12,kim2946,47,남자,블로그광고,PC,사업자,1,경기도,45-50
13,isiskr,61,여자,인터넷기사광고,PC,일반,1,경기도,60-65
14,kyen1311,69,여자,신문광고,PC,사업자,1,충청북도,65-70
15,joony337,44,남자,블로그광고,PC,사업자,1,부산광역시,40-45
16,43529410@n,48,남자,블로그광고,모바일,일반,1,경기도,45-50
17,youn88824,47,남자,블로그광고,PC,일반,1,대전광역시,45-50
18,xigol80,40,남자,인터넷기사광고,PC,사업자,1,서울특별시,40-45
19,40171934@n,47,여자,SNS광고,모바일,일반,1,서울특별시,45-50
20,onestarpsi,38,남자,SNS광고,모바일,사업자,1,충청북도,35-40
21,dlarhkdtjd77,43,남자,블로그광고,PC,일반,1,경기도,40-45
22,ywca897,40,남자,인터넷기사광고,PC,특별회원,1,서울특별시,40-45
23,deadand,37,남자,신문광고,PC,사업자,1,대구광역시,35-40
24,scsodamae,36,남자,카카오톡광고,모바일,사업자,1,인천광역시,35-40
25,ehfdl1108,44,남자,블로그광고,PC,사업자,1,대전광역시,40-45
26,30304280@n,47,남자,SNS광고,모바일,일반,1,서울특별시,45-50
27,wanya,38,남자,SNS광고,모바일,일반,1,인천광역시,35-40
28,35701489@n,46,남자,블로그광고,PC,일반,1,서울특별시,45-50
29,ppee1234,41,남자,인터넷기사광고,PC,사업자,1,울산광역시,40-45
30,sys7597,47,여자,블로그광고,PC,일반,1,경기도,45-50
31,yagtech,44,남자,블로그광고,PC,일반,1,경기도,40-45
32,hanwoori,40,남자,인터넷기사광고,PC,전화주문 고객,1,서울특별시,40-45
33,lmh4571,47,남자,블로그광고,PC,일반,1,강원도,45-50
34,tokeysalad,29,남자,이메일광고,PC,일반,1,울산광역시,25-30
35,tokeysalad1,44,남자,블로그광고,PC,사업자,1,울산광역시,40-45
36,gongbang,45,남자,SNS광고,모바일,사업자,1,서울특별시,45-50
37,nadri09,43,남자,블로그광고,PC,사업자(수신거부),1,광주광역시,40-45
38,pinkbabi100,39,여자,인터넷기사광고,PC,사업자,1,경기도,35-40
39,134513950@n,37,남자,SNS광고,모바일,일반,1,대구광역시,35-40
40,chd209,47,남자,SNS광고,모바일,일반,1,대구광역시,45-50
41,stllera,42,여자,블로그광고,PC,사업자,1,대구광역시,40-45
42,yrkim1848,36,남자,이메일광고,PC,사업자,1,부산광역시,35-40
43,10073665@n,47,남자,블로그광고,PC,일반,1,경기도,45-50
44,b2046916,47,남자,SNS광고,모바일,일반,1,경기도,45-50
45,ask0507,44,남자,블로그광고,PC,사업자,1,강원도,40-45
46,gugu1223,47,여자,블로그광고,PC,일반,1,서울특별시,45-50
47,jjcyjh,42,남자,블로그광고,PC,사업자,1,서울특별시,40-45
48,115349556@n,46,남자,블로그광고,PC,일반,1,충청남도,45-50
49,her8,42,남자,블로그광고,PC,사업자,1,충청남도,40-45
50,44431031@n,47,남자,블로그광고,PC,일반,1,서울특별시,45-50
51,no3korea,35,여자,이메일광고,PC,일반,1,서울특별시,35-40
52,yyk1104,32,남자,이메일광고,PC,사업자,1,대전광역시,30-35
53,hr9313,33,남자,이메일광고,PC,사업자,1,대전광역시,30-35
54,kim0019,46,남자,SNS광고,모바일,사업자,1,대구광역시,45-50
55,sin8486,51,남자,블로그광고,PC,사업자,1,경기도,50-55
56,22348885@n,47,남자,블로그광고,PC,일반,1,전라북도,45-50
57,rudals730,32,여자,카카오톡광고,모바일,일반,1,충청북도,30-35
58,yddorai,40,여자,인터넷기사광고,PC,일반,1,경기도,40-45
59,1939269293018887@f,47,남자,SNS광고,모바일,일반,1,전라남도,45-50
60,3677659@n,48,남자,블로그광고,PC,일반,1,부산광역시,45-50
61,42104878@n,47,남자,블로그광고,PC,일반,1,경기도,45-50
62,27356432@n,45,남자,SNS광고,모바일,일반,1,대구광역시,45-50
63,fromme105,35,남자,카카오톡광고,모바일,일반,1,대구광역시,35-40
64,mangdae1104,44,남자,블로그광고,PC,사업자,1,충청남도,40-45
65,sonym80,34,남자,이메일광고,PC,사업자,1,대구광역시,30-35
66,yinhk,42,남자,블로그광고,PC,일반,1,전라북도,40-45
67,5391700@n,47,남자,SNS광고,모바일,일반,1,경기도,45-50
68,6171754@n,48,남자,블로그광고,PC,일반,1,서울특별시,45-50
69,39480208@n,47,여자,블로그광고,PC,일반,1,전라북도,45-50
70,ilvvms,35,남자,이메일광고,PC,일반,1,경기도,35-40
71,pjwkiss1004,60,남자,인터넷기사광고,PC,사업자,1,서울특별시,60-65
72,redma1004,50,여자,블로그광고,PC,사업자,1,강원도,50-55
73,sciencefarm,45,남자,블로그광고,PC,사업자,1,서울특별시,45-50
74,yskim2937,75,남자,신문광고,모바일,일반,1,서울특별시,75-80
75,17689457@n,47,남자,SNS광고,모바일,일반,1,전라북도,45-50
76,sowon3448,33,남자,이메일광고,PC,사업자,1,경상남도,30-35
77,83844043@n,47,남자,블로그광고,PC,일반,1,경기도,45-50
