,상품코드,상품명(기본),연관있는상품번호,연관있는상품명,지지도
0,1631,미소찬 생강가루 400g 20개 (박스 상품),92,"사각 죽용기 대 1,050ml 500개 1set(2박스)",1.0
1,1350,"175mm 수저 투명 1,500개 맛있숟갈",92,"사각 죽용기 대 1,050ml 500개 1set(2박스)",0.015
2,1302,116파이 원형용기 중 투명 600개 1set(2박스),92,"사각 죽용기 대 1,050ml 500개 1set(2박스)",0.067
3,1269,비닐봉투 배달중 특대 백색 100개,92,"사각 죽용기 대 1,050ml 500개 1set(2박스)",0.015
4,1268,비닐봉투 맛난거들었쪙 소 백색 200개,92,"사각 죽용기 대 1,050ml 500개 1set(2박스)",0.02
5,1265,비닐봉투 맛난거들었쪙 특대 백색 100개,92,"사각 죽용기 대 1,050ml 500개 1set(2박스)",0.011000000000000001
6,1226,반찬용기 204 1칸 블랙 800개 1set(2박스),92,"사각 죽용기 대 1,050ml 500개 1set(2박스)",0.016
7,1202,비닐봉투 무지 대 백색 200개,92,"사각 죽용기 대 1,050ml 500개 1set(2박스)",0.016
8,1168,130파이 찬용기 대 350ml 800개 1set(2박스),92,"사각 죽용기 대 1,050ml 500개 1set(2박스)",0.013999999999999999
9,1091,"70파이 다용도컵 세트 1호 소 70ml 블랙 PS-3,000개 1set(2박스)",92,"사각 죽용기 대 1,050ml 500개 1set(2박스)",0.013000000000000001
10,1083,고강도 감자탕용기 중 200개 1set(2박스),92,"사각 죽용기 대 1,050ml 500개 1set(2박스)",0.012
11,1072,"170mm 수저 백색 1,500개 1박스",92,"사각 죽용기 대 1,050ml 500개 1set(2박스)",0.021
12,941,"실링용기 33호 반투명 3,000ml 400개 1박스",92,"사각 죽용기 대 1,050ml 500개 1set(2박스)",0.25
13,605,사각 죽용기 신형 중 750ml 500개 1set(2박스),92,"사각 죽용기 대 1,050ml 500개 1set(2박스)",0.015
14,589,위생 장갑 100매 2개,92,"사각 죽용기 대 1,050ml 500개 1set(2박스)",0.031
15,557,"10-13온스 종이컵뚜껑 개폐형 1,000개 1박스",92,"사각 죽용기 대 1,050ml 500개 1set(2박스)",0.091
16,442,"130파이 원형용기 대 470ml 백색 PP 1,200개 1set(2박스)",92,"사각 죽용기 대 1,050ml 500개 1set(2박스)",0.036000000000000004
17,421,업소용도마 특5호,92,"사각 죽용기 대 1,050ml 500개 1set(2박스)",0.25
18,420,업소용도마 특4호,92,"사각 죽용기 대 1,050ml 500개 1set(2박스)",0.33299999999999996
19,380,"225파이 탕용기 대 3,000ml 200개 1set(2박스)",92,"사각 죽용기 대 1,050ml 500개 1set(2박스)",0.013999999999999999
20,379,"225파이 탕용기 중 2,400ml 200개 1set(2박스)",92,"사각 죽용기 대 1,050ml 500개 1set(2박스)",0.022000000000000002
21,378,"225파이 탕용기 소 1,800ml 200개 1set(2박스)",92,"사각 죽용기 대 1,050ml 500개 1set(2박스)",0.015
22,144,"170mm 다용도A수저 노랑 1,500개 1박스(개별포장)",92,"사각 죽용기 대 1,050ml 500개 1set(2박스)",0.032
23,140,"170mm 수저 투명 1,500개 1박스",92,"사각 죽용기 대 1,050ml 500개 1set(2박스)",0.031
24,94,"사각 죽용기 특대 1,150ml 500개 1set(2박스)",92,"사각 죽용기 대 1,050ml 500개 1set(2박스)",0.013000000000000001
25,90,사각 죽용기 중 920ml 500개 1set(2박스),92,"사각 죽용기 대 1,050ml 500개 1set(2박스)",0.018000000000000002
26,88,사각 죽용기 소 550ml 500개 1set(2박스),92,"사각 죽용기 대 1,050ml 500개 1set(2박스)",0.021
27,76,"340파이 타원 찜용기 중 2,500ml 200개 1set(2박스)",92,"사각 죽용기 대 1,050ml 500개 1set(2박스)",0.012
28,70,"사각찜용기 중 2,500ml 100개 1set(2박스)",92,"사각 죽용기 대 1,050ml 500개 1set(2박스)",0.027999999999999997
29,45,"105파이 다용도컵 세트 5호 대 370ml 백색 PS 1,000개 1set(2박스)",92,"사각 죽용기 대 1,050ml 500개 1set(2박스)",0.025
30,44,"105파이 다용도컵 세트 5호 중 300ml 백색 PS 1,000개 1set(2박스)",92,"사각 죽용기 대 1,050ml 500개 1set(2박스)",0.022000000000000002
31,43,"95파이 다용도컵 세트 4호 대 270ml 백색 PS 1,000개 1set(2박스)",92,"사각 죽용기 대 1,050ml 500개 1set(2박스)",0.013999999999999999
32,39,"70파이 다용도컵 세트 2호 대 80ml 백색 PS 3,000개 1set(2박스)",92,"사각 죽용기 대 1,050ml 500개 1set(2박스)",0.022000000000000002
33,38,"70파이 다용도컵 세트 1호 소 70ml 백색 PS 3,000개 1set(2박스)",92,"사각 죽용기 대 1,050ml 500개 1set(2박스)",0.021
34,1625,미소찬 가쓰오 다시 1kg 10개 (박스 상품),1071,"105파이 다용도컵 세트 5호 대 370ml 블랙 PS-1,000개 1set(2박스)",1.0
