,주문자ID,17년1분기,17년2분기,17년3분기,17년4분기,18년1분기,18년2분기,18년3분기,18년4분기,19년1분기,19년2분기
0,100304734@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1,1003409866@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
2,100381931@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
3,1004498382@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
4,1004547839@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
5,1004714862@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
6,10055065@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
7,1005540326292754@f,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,1005861444@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
9,1005958854@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
10,100738387@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
11,100738448@n,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12,1008814431@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13,1008831959@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
14,1009216553@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
15,1013394725@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16,1015593605@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
17,1017481028@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
18,101803789@n,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
19,102242774@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20,1024370257@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
21,1024429813@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
22,1024848064@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23,102567472@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
24,10261560@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
25,102764664@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
26,1027770506@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
27,10320819@n,0.0,0.0,0.0,0.0,2.0,0.0,5.0,5.0,5.0,5.0
28,10359143@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
29,1036830659@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0
30,1037721908@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
31,1038355240@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
32,1038469905@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
33,1038677707@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
34,1039558032@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
35,104005455@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
36,1040253175@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
37,10405556@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
38,1040736983@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
39,10429360@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
40,104371081@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
41,104757296@n,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
42,1049809143@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
43,1050417339@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
44,1050964496@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45,10531439@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
