주문자ID,17년1분기,17년2분기,17년3분기,17년4분기,18년1분기,18년2분기,18년3분기,18년4분기,19년1분기,19년2분기
100304734@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103300.0
1003409866@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3092670.0,1215850.0
100381931@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27070.0,43980.0,0.0
1004498382@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76400.0,0.0
1004547839@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360800.0,0.0
1004714862@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58410.0,49700.0
10055065@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200480.0,0.0,0.0
1005540326292754@f,0.0,0.0,0.0,0.0,0.0,0.0,60540.0,0.0,0.0,0.0
1005861444@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225070.0,0.0
1005958854@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75570.0,59670.0
100738387@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93720.0,0.0
100738448@n,0.0,0.0,0.0,0.0,57500.0,0.0,0.0,0.0,0.0,0.0
1008814431@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67320.0,0.0
1008831959@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335350.0,353190.0
1009216553@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259000.0,61470.0
1013394725@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38390.0,0.0
1015593605@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101310.0,0.0
1017481028@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78390.0,0.0
101803789@n,0.0,0.0,0.0,104000.0,0.0,0.0,0.0,0.0,0.0,0.0
102242774@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49700.0
1024370257@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394690.0,0.0
1024429813@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102190.0,0.0
1024848064@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66500.0,0.0
102567472@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93720.0,59990.0
10261560@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495900.0
102764664@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56760.0,0.0,0.0
1027770506@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49700.0,0.0
10320819@n,0.0,0.0,0.0,0.0,104500.0,0.0,568830.0,931260.0,878420.0,494600.0
10359143@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190970.0
1036830659@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225030.0,458930.0
1037721908@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57220.0,0.0
1038355240@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121920.0,0.0
1038469905@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103040.0,57850.0
1038677707@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,607860.0,0.0
1039558032@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103300.0,0.0
104005455@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374870.0
1040253175@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68970.0,195790.0
10405556@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95230.0,0.0
1040736983@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59670.0,0.0
10429360@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118250.0
104371081@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113520.0,0.0
104757296@n,0.0,0.0,0.0,0.0,231000.0,0.0,0.0,0.0,0.0,0.0
1049809143@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410830.0
1050417339@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74600.0,0.0
1050964496@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19620.0,0.0
10531439@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92070.0,0.0,0.0
1054591641@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185790.0
105511281@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60280.0,0.0,0.0
