,주문자ID,상품구매금액,나이,성별,유입경로,유입기기,사업자구분,회원구분,가입-최종주문기간,AgeGroup,region
0,100304734@n,103300,47,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인
1,1003409866@k,4308520,27,남자,카카오톡광고,모바일,개인,일반,141,25-29,서울특별시
2,100381931@n,71050,41,남자,SNS광고,모바일,개인,일반,102,40-44,대구광역시
3,1004498382@k,76400,47,남자,SNS광고,모바일,개인,일반,0,45-49,경기도
4,1004547839@k,360800,47,남자,블로그광고,PC,개인,일반,0,45-49,전라남도
5,1004714862@k,108110,44,남자,SNS광고,모바일,개인,일반,93,40-44,세종특별자치시
6,10055065@n,200480,48,남자,블로그광고,모바일,개인,일반,0,45-49,대구광역시
7,1005540326292754@f,60540,47,남자,SNS광고,모바일,개인,일반,0,45-49,대구광역시
8,1005861444@k,225070,46,남자,SNS광고,모바일,개인,일반,0,45-49,전라남도
9,1005958854@k,135240,45,남자,SNS광고,모바일,개인,일반,109,45-49,경상북도
10,100738387@n,93720,47,남자,SNS광고,모바일,개인,일반,0,45-49,대구광역시
11,100738448@n,57500,47,남자,블로그광고,PC,개인,일반,0,45-49,강원도
12,1008814431@k,67320,47,남자,SNS광고,모바일,개인,일반,0,45-49,서울특별시
13,1008831959@k,688540,40,남자,SNS광고,모바일,개인,일반,133,40-44,울산광역시
14,1009216553@k,320470,44,남자,인터넷검색,PC,개인,일반,88,40-44,강원도
15,1013394725@k,38390,47,남자,SNS광고,모바일,개인,일반,0,45-49,충청북도
16,1015593605@k,101310,46,남자,SNS광고,모바일,개인,일반,14,45-49,경기도
17,1017481028@k,78390,31,남자,카카오톡광고,모바일,개인,일반,34,30-34,인천광역시
18,101803789@n,104000,47,남자,블로그광고,PC,개인,일반,0,45-49,대구광역시
19,102242774@n,49700,47,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인
20,1024370257@k,394690,46,남자,블로그광고,PC,개인,일반,1,45-49,부산광역시
21,1024429813@k,102190,46,남자,SNS광고,모바일,개인,일반,0,45-49,인천광역시
22,1024848064@k,66500,47,남자,SNS광고,모바일,개인,일반,0,45-49,전라북도
23,102567472@n,153710,45,남자,SNS광고,모바일,개인,일반,8,45-49,충청북도
24,10261560@n,495900,49,남자,블로그광고,모바일,개인,일반,0,45-49,서울특별시
25,102764664@n,56760,47,남자,블로그광고,PC,개인,일반,0,45-49,대구광역시
26,1027770506@k,49700,46,남자,SNS광고,모바일,개인,일반,2,45-49,대전광역시
27,10320819@n,2977610,40,남자,SNS광고,모바일,개인,일반,420,40-44,충청북도
28,10359143@n,190970,45,남자,SNS광고,모바일,개인,일반,7,45-49,오프라인
29,1036830659@k,683960,30,남자,카카오톡광고,모바일,개인,일반,62,30-34,대전광역시
30,1037721908@k,57220,46,남자,SNS광고,모바일,개인,일반,0,45-49,전라남도
31,1038355240@k,121920,45,남자,SNS광고,모바일,개인,일반,0,45-49,경기도
32,1038469905@k,160890,46,남자,블로그광고,PC,개인,일반,55,45-49,경기도
33,1038677707@k,607860,49,남자,블로그광고,PC,개인,일반,0,45-49,대구광역시
34,1039558032@k,103300,47,남자,SNS광고,모바일,개인,일반,0,45-49,경상북도
35,104005455@n,374870,40,남자,SNS광고,모바일,개인,일반,125,40-44,오프라인
36,1040253175@k,264760,43,남자,블로그광고,PC,개인,일반,70,40-44,부산광역시
37,10405556@n,95230,33,남자,카카오톡광고,모바일,개인,일반,8,30-34,충청남도
38,1040736983@k,59670,47,남자,블로그광고,PC,개인,일반,0,45-49,대전광역시
39,10429360@n,118250,40,남자,유튜브광고,PC,개인,일반,11,40-44,오프라인
40,104371081@n,113520,46,남자,SNS광고,모바일,개인,일반,0,45-49,경기도
41,104757296@n,231000,47,남자,SNS광고,모바일,개인,일반,60,45-49,경기도
42,1049809143@k,410830,76,남자,신문광고,모바일,개인,일반,67,75-79,울산광역시
43,1050417339@k,74600,47,남자,SNS광고,모바일,개인,일반,0,45-49,강원도
44,1050964496@k,19620,47,남자,SNS광고,모바일,개인,일반,0,45-49,대구광역시
45,10531439@n,92070,47,남자,블로그광고,PC,개인,일반,0,45-49,충청남도
46,1054591641@k,185790,47,남자,SNS광고,모바일,개인,일반,0,45-49,부산광역시
47,105511281@n,60280,47,남자,블로그광고,PC,개인,일반,0,45-49,강원도
48,10572859@n,98560,46,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인
