,Unnamed: 0,주문자ID,상품구매금액,나이,성별,유입경로,유입기기,사업자구분,회원구분,가입-최종주문기간,AgeGroup,region,한식,중식,일식,양식,분식,카페
0,0,100304734@n,103300,47,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인,1.0,0.0,0.0,0.0,0.0,0.0
1,1,1003409866@k,4308520,27,남자,카카오톡광고,모바일,개인,일반,141,25-29,서울특별시,22.0,35.0,13.0,13.0,0.0,0.0
2,2,100381931@n,71050,41,남자,SNS광고,모바일,개인,일반,102,40-44,대구광역시,0.0,0.0,0.0,0.0,0.0,0.0
3,3,1004498382@k,76400,47,남자,SNS광고,모바일,개인,일반,0,45-49,경기도,1.0,1.0,0.0,0.0,1.0,0.0
4,4,1004547839@k,360800,47,남자,블로그광고,PC,개인,일반,0,45-49,전라남도,2.0,0.0,2.0,2.0,2.0,0.0
5,5,1004714862@k,108110,44,남자,SNS광고,모바일,개인,일반,93,40-44,세종특별자치시,2.0,2.0,2.0,0.0,2.0,0.0
6,6,10055065@n,200480,48,남자,블로그광고,모바일,개인,일반,0,45-49,대구광역시,3.0,3.0,3.0,2.0,3.0,0.0
7,7,1005540326292754@f,60540,47,남자,SNS광고,모바일,개인,일반,0,45-49,대구광역시,1.0,1.0,1.0,0.0,1.0,0.0
8,8,1005861444@k,225070,46,남자,SNS광고,모바일,개인,일반,0,45-49,전라남도,2.0,2.0,0.0,0.0,2.0,0.0
9,9,1005958854@k,135240,45,남자,SNS광고,모바일,개인,일반,109,45-49,경상북도,2.0,2.0,2.0,0.0,2.0,0.0
10,10,100738387@n,93720,47,남자,SNS광고,모바일,개인,일반,0,45-49,대구광역시,1.0,0.0,0.0,0.0,0.0,0.0
11,11,100738448@n,57500,47,남자,블로그광고,PC,개인,일반,0,45-49,강원도,0.0,0.0,0.0,0.0,0.0,0.0
12,12,1008814431@k,67320,47,남자,SNS광고,모바일,개인,일반,0,45-49,서울특별시,0.0,1.0,0.0,0.0,0.0,0.0
13,13,1008831959@k,688540,40,남자,SNS광고,모바일,개인,일반,133,40-44,울산광역시,6.0,7.0,6.0,2.0,6.0,0.0
14,14,1009216553@k,320470,44,남자,인터넷검색,PC,개인,일반,88,40-44,강원도,3.0,1.0,1.0,0.0,1.0,0.0
15,15,1013394725@k,38390,47,남자,SNS광고,모바일,개인,일반,0,45-49,충청북도,0.0,0.0,0.0,0.0,0.0,0.0
16,16,1015593605@k,101310,46,남자,SNS광고,모바일,개인,일반,14,45-49,경기도,0.0,1.0,0.0,0.0,0.0,0.0
17,17,1017481028@k,78390,31,남자,카카오톡광고,모바일,개인,일반,34,30-34,인천광역시,2.0,1.0,2.0,1.0,2.0,0.0
18,18,101803789@n,104000,47,남자,블로그광고,PC,개인,일반,0,45-49,대구광역시,1.0,0.0,0.0,0.0,0.0,0.0
19,19,102242774@n,49700,47,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인,1.0,1.0,1.0,0.0,1.0,0.0
20,20,1024370257@k,394690,46,남자,블로그광고,PC,개인,일반,1,45-49,부산광역시,4.0,3.0,1.0,1.0,2.0,0.0
21,21,1024429813@k,102190,46,남자,SNS광고,모바일,개인,일반,0,45-49,인천광역시,1.0,1.0,0.0,0.0,1.0,0.0
22,22,1024848064@k,66500,47,남자,SNS광고,모바일,개인,일반,0,45-49,전라북도,1.0,1.0,1.0,1.0,1.0,0.0
23,23,102567472@n,153710,45,남자,SNS광고,모바일,개인,일반,8,45-49,충청북도,2.0,1.0,2.0,2.0,2.0,0.0
24,24,10261560@n,495900,49,남자,블로그광고,모바일,개인,일반,0,45-49,서울특별시,3.0,4.0,1.0,0.0,1.0,1.0
25,25,102764664@n,56760,47,남자,블로그광고,PC,개인,일반,0,45-49,대구광역시,1.0,0.0,0.0,0.0,0.0,0.0
26,26,1027770506@k,49700,46,남자,SNS광고,모바일,개인,일반,2,45-49,대전광역시,1.0,1.0,1.0,0.0,1.0,0.0
27,27,10320819@n,2977610,40,남자,SNS광고,모바일,개인,일반,420,40-44,충청북도,44.0,44.0,44.0,0.0,44.0,0.0
28,28,10359143@n,190970,45,남자,SNS광고,모바일,개인,일반,7,45-49,오프라인,2.0,0.0,0.0,0.0,0.0,0.0
29,29,1036830659@k,683960,30,남자,카카오톡광고,모바일,개인,일반,62,30-34,대전광역시,0.0,7.0,0.0,0.0,0.0,0.0
30,30,1037721908@k,57220,46,남자,SNS광고,모바일,개인,일반,0,45-49,전라남도,0.0,1.0,0.0,0.0,0.0,0.0
31,31,1038355240@k,121920,45,남자,SNS광고,모바일,개인,일반,0,45-49,경기도,2.0,2.0,1.0,0.0,2.0,0.0
32,32,1038469905@k,160890,46,남자,블로그광고,PC,개인,일반,55,45-49,경기도,2.0,0.0,0.0,0.0,2.0,0.0
33,33,1038677707@k,607860,49,남자,블로그광고,PC,개인,일반,0,45-49,대구광역시,5.0,7.0,2.0,0.0,3.0,0.0
34,34,1039558032@k,103300,47,남자,SNS광고,모바일,개인,일반,0,45-49,경상북도,1.0,0.0,0.0,0.0,0.0,0.0
35,35,104005455@n,374870,40,남자,SNS광고,모바일,개인,일반,125,40-44,오프라인,2.0,2.0,2.0,0.0,2.0,2.0
36,36,1040253175@k,264760,43,남자,블로그광고,PC,개인,일반,70,40-44,부산광역시,4.0,3.0,0.0,0.0,4.0,0.0
37,37,10405556@n,95230,33,남자,카카오톡광고,모바일,개인,일반,8,30-34,충청남도,1.0,0.0,0.0,0.0,1.0,0.0
38,38,1040736983@k,59670,47,남자,블로그광고,PC,개인,일반,0,45-49,대전광역시,1.0,1.0,1.0,0.0,1.0,0.0
39,39,10429360@n,118250,40,남자,유튜브광고,PC,개인,일반,11,40-44,오프라인,1.0,1.0,1.0,0.0,1.0,0.0
40,40,104371081@n,113520,46,남자,SNS광고,모바일,개인,일반,0,45-49,경기도,1.0,1.0,0.0,0.0,1.0,0.0
41,41,104757296@n,231000,47,남자,SNS광고,모바일,개인,일반,60,45-49,경기도,3.0,0.0,0.0,0.0,3.0,0.0
42,42,1049809143@k,410830,76,남자,신문광고,모바일,개인,일반,67,75-79,울산광역시,0.0,5.0,0.0,0.0,0.0,0.0
43,43,1050417339@k,74600,47,남자,SNS광고,모바일,개인,일반,0,45-49,강원도,1.0,1.0,1.0,0.0,1.0,0.0
44,44,1050964496@k,19620,47,남자,SNS광고,모바일,개인,일반,0,45-49,대구광역시,0.0,0.0,0.0,0.0,0.0,0.0
45,45,10531439@n,92070,47,남자,블로그광고,PC,개인,일반,0,45-49,충청남도,1.0,0.0,1.0,1.0,1.0,0.0
46,46,1054591641@k,185790,47,남자,SNS광고,모바일,개인,일반,0,45-49,부산광역시,2.0,2.0,0.0,0.0,0.0,0.0
47,47,105511281@n,60280,47,남자,블로그광고,PC,개인,일반,0,45-49,강원도,0.0,0.0,0.0,0.0,0.0,0.0
48,48,10572859@n,98560,46,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인,1.0,1.0,1.0,1.0,1.0,0.0
49,49,10579328@n,274680,45,남자,SNS광고,모바일,개인,일반,75,45-49,인천광역시,0.0,0.0,0.0,0.0,0.0,0.0
50,50,1057945738@k,115070,47,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인,1.0,1.0,0.0,0.0,1.0,0.0
51,51,1059968519@k,98600,46,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인,1.0,0.0,0.0,0.0,1.0,0.0
52,52,1061248718@k,63070,47,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인,1.0,1.0,0.0,0.0,1.0,0.0
53,53,1061301774@k,182980,47,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인,3.0,2.0,3.0,3.0,3.0,0.0
54,54,106152948@n,77000,47,남자,블로그광고,PC,개인,일반,0,45-49,오프라인,0.0,0.0,0.0,0.0,0.0,0.0
55,55,1061836677@k,45190,47,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인,0.0,0.0,0.0,0.0,0.0,0.0
56,56,1062076148@k,138890,47,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인,2.0,1.0,1.0,0.0,2.0,0.0
57,57,10686533@n,101640,47,남자,블로그광고,PC,개인,일반,0,45-49,오프라인,1.0,1.0,1.0,1.0,1.0,0.0
58,58,1069405155@k,100920,47,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인,1.0,1.0,0.0,0.0,1.0,0.0
59,59,10705357@n,87120,47,남자,SNS광고,모바일,개인,일반,0,45-49,강원도,1.0,1.0,1.0,0.0,1.0,0.0
60,60,1074130640@k,69400,46,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인,1.0,1.0,0.0,0.0,1.0,0.0
61,61,1075139712@k,107970,47,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인,1.0,1.0,0.0,0.0,0.0,0.0
62,62,1076058407@k,285770,39,남자,유튜브광고,PC,개인,일반,17,35-39,오프라인,3.0,3.0,3.0,1.0,3.0,0.0
63,63,107632036@n,918380,40,남자,SNS광고,모바일,개인,일반,243,40-44,경상남도,10.0,10.0,9.0,7.0,10.0,0.0
64,64,1076608997@k,63620,47,남자,블로그광고,PC,개인,일반,0,45-49,오프라인,1.0,1.0,1.0,1.0,1.0,0.0
65,65,107780155@n,39000,47,남자,SNS광고,모바일,개인,일반,52,45-49,경기도,0.0,0.0,0.0,0.0,0.0,0.0
66,66,1083107756@k,107210,47,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인,1.0,2.0,0.0,0.0,0.0,0.0
67,67,10834134@n,68970,46,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인,1.0,1.0,0.0,0.0,1.0,0.0
68,68,10843505@n,81600,46,남자,SNS광고,모바일,개인,일반,0,45-49,서울특별시,1.0,1.0,0.0,0.0,1.0,0.0
69,69,108612859@n,113380,48,남자,블로그광고,모바일,개인,일반,1,45-49,충청남도,0.0,0.0,0.0,0.0,0.0,2.0
70,70,10874046@n,113720,46,남자,SNS광고,모바일,개인,일반,0,45-49,충청북도,2.0,1.0,1.0,1.0,2.0,0.0
71,71,1087561856@k,61900,46,남자,블로그광고,PC,개인,일반,0,45-49,오프라인,1.0,1.0,0.0,0.0,1.0,0.0
72,72,1088225570@k,48600,47,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인,0.0,0.0,0.0,0.0,0.0,0.0
73,73,108964404@n,265600,44,남자,SNS광고,모바일,개인,일반,263,40-44,대전광역시,3.0,3.0,3.0,2.0,3.0,0.0
74,74,108984515@n,122860,46,남자,SNS광고,모바일,개인,일반,20,45-49,오프라인,1.0,1.0,1.0,1.0,1.0,0.0
75,75,1090570620@k,154410,47,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인,1.0,0.0,0.0,0.0,0.0,0.0
76,76,1090959153@k,172220,46,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인,1.0,1.0,1.0,1.0,1.0,0.0
77,77,1092978360@k,98600,47,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인,1.0,0.0,0.0,0.0,1.0,0.0
78,78,109319048@n,638320,36,남자,이메일광고,PC,개인,일반,363,35-39,경상남도,9.0,9.0,5.0,5.0,9.0,0.0
79,79,10935096@n,78800,40,남자,SNS광고,모바일,개인,일반,1,40-44,전라북도,1.0,1.0,0.0,0.0,1.0,0.0
80,80,1094652352@k,77000,47,남자,블로그광고,PC,개인,일반,0,45-49,오프라인,0.0,0.0,0.0,0.0,0.0,0.0
81,81,1094746791@k,300000,47,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인,2.0,0.0,0.0,0.0,0.0,0.0
82,82,109844993@n,99660,47,남자,SNS광고,모바일,개인,일반,0,45-49,대구광역시,1.0,1.0,1.0,1.0,1.0,0.0
83,83,10989316@n,81600,45,남자,SNS광고,모바일,개인,일반,41,45-49,대전광역시,1.0,1.0,0.0,0.0,1.0,0.0
84,84,10992358@n,550940,46,남자,블로그광고,PC,개인,일반,1,45-49,서울특별시,5.0,4.0,4.0,3.0,4.0,0.0
85,85,109963639@n,159820,46,남자,SNS광고,모바일,개인,일반,71,45-49,오프라인,0.0,1.0,0.0,0.0,0.0,0.0
86,86,11096193@n,118250,46,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인,1.0,0.0,0.0,0.0,0.0,0.0
87,87,11098155@n,55870,47,남자,블로그광고,PC,개인,일반,0,45-49,오프라인,1.0,1.0,1.0,1.0,1.0,0.0
88,88,111139172@n,60720,47,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인,1.0,1.0,1.0,1.0,1.0,0.0
89,89,111681891@n,773560,40,여자,인터넷기사광고,PC,개인,일반,433,40-44,경기도,13.0,13.0,12.0,0.0,13.0,0.0
90,90,11178928@n,43500,47,여자,SNS광고,모바일,개인,일반,0,45-49,대전광역시,0.0,0.0,0.0,0.0,0.0,0.0
91,91,11185770@n,73850,47,남자,블로그광고,PC,개인,일반,0,45-49,강원도,1.0,0.0,0.0,0.0,1.0,0.0
92,92,111897872@n,123800,40,남자,인터넷기사광고,PC,개인,일반,316,40-44,오프라인,1.0,1.0,0.0,0.0,1.0,0.0
93,93,11227273@n,70620,42,남자,SNS광고,모바일,개인,일반,137,40-44,대전광역시,1.0,1.0,1.0,0.0,1.0,0.0
94,94,112549561@n,348580,43,남자,블로그광고,PC,개인,일반,176,40-44,경기도,0.0,0.0,0.0,0.0,0.0,0.0
95,95,112937542@n,133620,46,남자,SNS광고,모바일,개인,일반,8,45-49,부산광역시,1.0,2.0,0.0,0.0,1.0,0.0
96,96,11321210@n,640230,25,여자,카카오톡광고,모바일,개인,일반,198,25-29,전라남도,8.0,8.0,8.0,8.0,8.0,0.0
97,97,113969589@n,1030600,27,여자,카카오톡광고,모바일,개인,일반,46,25-29,오프라인,0.0,0.0,0.0,0.0,0.0,0.0
98,98,1141025@n,126980,46,남자,SNS광고,모바일,개인,일반,0,45-49,서울특별시,1.0,1.0,1.0,0.0,1.0,0.0
99,99,11470195@n,471790,38,남자,SNS광고,모바일,개인,일반,7,35-39,서울특별시,0.0,3.0,0.0,0.0,0.0,0.0
100,100,114809986@n,103500,48,남자,블로그광고,PC,개인,일반,0,45-49,인천광역시,1.0,0.0,0.0,0.0,1.0,0.0
101,101,115136874@n,75570,46,남자,SNS광고,모바일,개인,일반,0,45-49,충청북도,1.0,1.0,1.0,1.0,1.0,0.0
102,102,115349556@n,159460,46,남자,블로그광고,PC,개인,일반,111,45-49,충청남도,3.0,3.0,3.0,3.0,3.0,0.0
103,103,115424915@n,430270,26,여자,이메일광고,PC,개인,일반,362,25-29,경기도,6.0,3.0,0.0,0.0,6.0,0.0
104,104,11569157@n,116000,45,남자,SNS광고,모바일,개인,일반,1,45-49,부산광역시,1.0,0.0,0.0,0.0,1.0,0.0
105,105,115897476@n,3043770,40,여자,SNS광고,모바일,개인,일반,274,40-44,서울특별시,18.0,18.0,18.0,18.0,18.0,0.0
106,106,115929032@n,144230,48,남자,블로그광고,모바일,개인,일반,0,45-49,대구광역시,2.0,2.0,1.0,0.0,2.0,0.0
107,107,11599985@n,78760,47,남자,SNS광고,모바일,개인,일반,0,45-49,인천광역시,1.0,0.0,1.0,1.0,1.0,0.0
108,108,116083227@n,83550,47,남자,SNS광고,모바일,개인,일반,0,45-49,경기도,0.0,0.0,0.0,0.0,0.0,0.0
109,109,116175245@n,199400,48,남자,블로그광고,PC,개인,일반,5,45-49,충청남도,2.0,0.0,0.0,0.0,2.0,0.0
110,110,116235519@n,193760,40,남자,SNS광고,모바일,개인,일반,76,40-44,경상남도,3.0,3.0,3.0,0.0,3.0,0.0
111,111,11625578@n,50160,47,남자,SNS광고,모바일,개인,일반,206,45-49,광주광역시,0.0,0.0,0.0,0.0,0.0,1.0
112,112,11673332@n,228360,45,남자,SNS광고,모바일,개인,일반,21,45-49,울산광역시,3.0,3.0,1.0,1.0,3.0,0.0
113,113,1169534567@g,649240,51,남자,블로그광고,PC,개인,일반,0,50-54,경상남도,0.0,0.0,0.0,0.0,0.0,0.0
114,114,11712326@n,347100,49,남자,블로그광고,모바일,개인,일반,2,45-49,부산광역시,1.0,1.0,1.0,1.0,1.0,0.0
115,115,117226079@n,48500,46,남자,SNS광고,모바일,개인,일반,1,45-49,오프라인,1.0,0.0,0.0,0.0,0.0,0.0
116,116,117254757@n,654990,40,남자,SNS광고,모바일,개인,일반,211,40-44,대구광역시,3.0,3.0,1.0,1.0,3.0,0.0
117,117,117421346@n,53900,47,남자,블로그광고,PC,개인,일반,0,45-49,전라남도,1.0,1.0,1.0,0.0,1.0,0.0
118,118,119347465@n,292090,38,남자,신문광고,PC,개인,일반,344,35-39,울산광역시,4.0,3.0,2.0,1.0,4.0,0.0
119,119,12024137@n,130180,44,남자,SNS광고,모바일,개인,일반,123,40-44,전라남도,2.0,2.0,2.0,0.0,2.0,0.0
120,120,1207579@n,1228330,40,여자,지인추천,PC,개인,일반,424,40-44,경기도,0.0,0.0,0.0,0.0,0.0,0.0
121,121,12102532@n,103300,47,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인,1.0,0.0,0.0,0.0,0.0,0.0
122,122,121506699@n,39740,47,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인,0.0,0.0,0.0,0.0,0.0,0.0
123,123,12192782@n,138300,44,남자,SNS광고,모바일,개인,일반,185,40-44,대구광역시,2.0,2.0,0.0,0.0,2.0,0.0
124,124,12199150@n,79880,44,남자,SNS광고,모바일,개인,사업자,0,40-44,부산광역시,0.0,0.0,0.0,0.0,0.0,2.0
125,125,12228241@n,98860,48,남자,블로그광고,PC,개인,일반,0,45-49,강원도,0.0,0.0,0.0,0.0,0.0,2.0
126,126,12230507@n,81350,45,남자,SNS광고,모바일,개인,일반,0,45-49,경상남도,1.0,0.0,0.0,0.0,1.0,0.0
127,127,12233673@n,96460,48,남자,블로그광고,PC,개인,일반,0,45-49,대전광역시,1.0,0.0,0.0,0.0,0.0,0.0
128,128,12253377@n,98600,45,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인,1.0,0.0,0.0,0.0,1.0,0.0
129,129,123077344@n,569380,45,남자,블로그광고,PC,개인,일반,218,45-49,경기도,6.0,0.0,0.0,0.0,0.0,0.0
130,130,123465082@n,101420,29,남자,카카오톡광고,모바일,개인,일반,78,25-29,경상남도,0.0,2.0,0.0,0.0,0.0,0.0
131,131,123814931@n,316710,40,남자,유튜브광고,PC,개인,일반,22,40-44,서울특별시,3.0,2.0,1.0,0.0,3.0,0.0
132,132,125302599@n,174240,48,남자,블로그광고,PC,개인,일반,0,45-49,서울특별시,2.0,1.0,2.0,0.0,2.0,0.0
133,133,125309226@n,1232450,54,남자,블로그광고,모바일,개인,일반,345,50-54,울산광역시,7.0,3.0,7.0,4.0,7.0,0.0
134,134,125361180@n,768330,37,남자,유튜브광고,PC,개인,일반,118,35-39,부산광역시,0.0,0.0,0.0,0.0,0.0,0.0
135,135,125650836@n,80450,47,남자,SNS광고,모바일,개인,일반,0,45-49,경기도,0.0,0.0,0.0,0.0,0.0,1.0
136,136,125880070@n,9360,46,남자,SNS광고,모바일,개인,일반,0,45-49,대구광역시,0.0,0.0,0.0,0.0,0.0,0.0
137,137,126004908@n,78870,36,남자,카카오톡광고,모바일,개인,일반,3,35-39,제주특별자치도,1.0,1.0,1.0,0.0,1.0,0.0
138,138,126051463@n,1105265,40,남자,SNS광고,모바일,개인,일반,17,40-44,경상북도,3.0,3.0,3.0,2.0,3.0,0.0
139,139,12641103@n,1721220,52,남자,블로그광고,PC,개인,사업자,513,50-54,인천광역시,15.0,3.0,3.0,3.0,3.0,0.0
140,140,127229908@n,61970,47,남자,SNS광고,모바일,개인,일반,0,45-49,부산광역시,1.0,1.0,1.0,0.0,1.0,0.0
141,141,12729895@n,32610,43,여자,블로그광고,PC,개인,사업자,0,40-44,부산광역시,0.0,0.0,0.0,0.0,0.0,0.0
142,142,127538389@n,74990,47,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인,1.0,1.0,0.0,0.0,0.0,0.0
143,143,127550622@n,143120,45,남자,SNS광고,모바일,개인,일반,97,45-49,경기도,0.0,2.0,2.0,2.0,0.0,0.0
144,144,127687613@n,127760,48,남자,블로그광고,모바일,개인,일반,0,45-49,인천광역시,0.0,0.0,0.0,0.0,0.0,0.0
145,145,12951288@n,79420,47,남자,SNS광고,모바일,개인,일반,0,45-49,광주광역시,0.0,0.0,0.0,0.0,0.0,0.0
146,146,130152621@n,185800,48,남자,블로그광고,PC,개인,일반,0,45-49,경상북도,0.0,0.0,0.0,0.0,0.0,3.0
147,147,130865688@n,124250,46,남자,SNS광고,모바일,개인,일반,182,45-49,서울특별시,1.0,0.0,0.0,0.0,0.0,0.0
148,148,13116190@n,99350,43,남자,SNS광고,모바일,개인,일반,259,40-44,서울특별시,1.0,0.0,0.0,0.0,0.0,0.0
149,149,13180696@n,848755,53,남자,블로그광고,PC,개인,일반,0,50-54,강원도,3.0,2.0,2.0,0.0,2.0,0.0
150,150,13195891@n,72270,47,남자,SNS광고,모바일,개인,일반,0,45-49,경상북도,0.0,0.0,0.0,0.0,0.0,2.0
151,151,132165967@n,171720,48,남자,블로그광고,PC,개인,일반,0,45-49,경기도,0.0,0.0,0.0,0.0,0.0,0.0
152,152,132351155@n,1487770,30,남자,카카오톡광고,모바일,개인,일반,390,30-34,경상북도,15.0,10.0,5.0,2.0,11.0,0.0
153,153,132532451@n,73850,48,남자,블로그광고,PC,개인,일반,0,45-49,전라남도,1.0,0.0,0.0,0.0,1.0,0.0
154,154,132656640@n,48500,47,남자,블로그광고,PC,개인,일반,0,45-49,경상남도,1.0,0.0,0.0,0.0,0.0,0.0
155,155,13337509@n,68200,40,남자,인터넷기사광고,PC,개인,특별회원,0,40-44,경기도,1.0,0.0,1.0,1.0,1.0,0.0
156,156,13382753@n,78870,47,남자,SNS광고,모바일,개인,일반,0,45-49,세종특별자치시,1.0,1.0,0.0,0.0,1.0,0.0
157,157,13405757@n,139340,47,남자,SNS광고,모바일,개인,일반,0,45-49,경기도,2.0,1.0,0.0,0.0,1.0,0.0
158,158,13435378@n,58410,36,남자,카카오톡광고,모바일,개인,일반,60,35-39,대구광역시,1.0,1.0,1.0,0.0,1.0,0.0
159,159,134513950@n,1120550,37,남자,SNS광고,모바일,개인,일반,560,35-39,대구광역시,6.0,0.0,0.0,0.0,1.0,0.0
160,160,135014997@n,126140,47,남자,블로그광고,PC,개인,일반,0,45-49,오프라인,1.0,1.0,0.0,0.0,1.0,0.0
161,161,135243092@n,51810,47,남자,블로그광고,PC,개인,일반,0,45-49,인천광역시,0.0,0.0,0.0,0.0,0.0,0.0
162,162,13532597@n,578510,31,남자,유튜브광고,PC,개인,일반,136,30-34,인천광역시,0.0,0.0,0.0,0.0,0.0,0.0
163,163,135337305@n,77000,46,남자,SNS광고,모바일,개인,일반,0,45-49,경상북도,0.0,0.0,0.0,0.0,0.0,0.0
164,164,13575577@n,183050,48,남자,블로그광고,PC,개인,일반,22,45-49,서울특별시,2.0,1.0,1.0,1.0,2.0,0.0
165,165,136149570@n,259280,49,남자,블로그광고,모바일,개인,일반,15,45-49,전라남도,0.0,0.0,0.0,0.0,0.0,0.0
166,166,13643473@n,57850,46,남자,SNS광고,모바일,개인,일반,49,45-49,오프라인,1.0,0.0,0.0,0.0,1.0,0.0
167,167,137197918@n,148100,46,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인,1.0,2.0,1.0,1.0,0.0,0.0
168,168,138435303@n,131670,47,남자,SNS광고,모바일,개인,일반,0,45-49,부산광역시,1.0,1.0,0.0,0.0,0.0,0.0
169,169,138511981@n,2590780,40,남자,SNS광고,모바일,개인,일반,314,40-44,부산광역시,27.0,27.0,27.0,7.0,27.0,0.0
170,170,138741549@n,637635,51,남자,블로그광고,PC,개인,일반,1,50-54,경상북도,0.0,0.0,0.0,0.0,0.0,0.0
171,171,140050498@n,35900,47,남자,SNS광고,모바일,개인,일반,0,45-49,강원도,0.0,0.0,0.0,0.0,0.0,1.0
