주문년월,총공급원가,네이버 포인트,사용한 적립금액,상품구매금액,상품별 추가할인금액,수량,쿠폰 할인금액,판매가,한식,중식,양식,일식,분식,상품판매이익,zero,one,two,three,four,five
17년01월,110000,0,0,140200,0,2,5000,140200,2,2,2,2,2,30200,6138,33,13,4,4,0
17년02월,895680,0,0,1087550,0,17,35000,1034250,14,9,13,9,14,191870,6138,33,13,4,4,0
17년03월,1810160,0,0,2328800,0,32,93000,2112100,23,16,19,16,23,518640,6138,33,13,4,4,0
17년04월,1520490,21500,0,1986750,0,29,45000,1847450,22,17,19,17,22,466260,6048,74,37,15,13,5
17년05월,2485340,1583,6458,3205950,144610,48,54000,3045850,39,32,33,32,39,720610,6048,74,37,15,13,5
17년06월,4255900,41590,12100,5913640,352410,102,102000,5388970,46,34,40,37,46,1657740,6048,74,37,15,13,5
17년07월,5892650,0,0,8518280,425150,174,82000,7187300,47,34,41,35,47,2625630,6019,66,41,24,25,17
17년08월,5070950,3600,47950,7386300,486540,138,48000,6455640,51,44,42,44,51,2315350,6019,66,41,24,25,17
17년09월,6828130,14623,86692,9882450,630980,179,48000,7694990,64,52,56,52,64,3054320,6019,66,41,24,25,17
17년10월,6421810,220447,60600,8929970,738810,138,0,7323620,75,50,70,51,75,2508160,5901,86,93,46,43,23
17년11월,11086630,13287,266724,16330720,1874310,233,0,14016830,154,118,145,126,154,5244090,5901,86,93,46,43,23
17년12월,13270870,9772,515540,19209240,2177760,275,0,16403490,183,141,167,145,183,5938370,5901,86,93,46,43,23
18년01월,29499420,9503,256080,42702600,4992640,545,0,38733480,436,285,419,361,436,13203180,5601,135,151,112,118,75
18년02월,22783490,0,281129,30520735,30400,433,139000,27246160,321,225,314,268,321,7737245,5601,135,151,112,118,75
18년03월,31776990,21440,660800,45052040,4165900,645,120590,38486090,417,288,405,346,417,13275050,5601,135,151,112,118,75
18년04월,47740240,25973,457941,67023735,9033100,1020,693200,56003770,577,466,562,498,577,19283495,4891,216,314,287,266,218
18년05월,71537820,162470,434732,111538020,21807100,1522,369280,95430430,882,720,859,791,882,40000200,4891,216,314,287,266,218
18년06월,71228220,55589,496930,107072985,21476000,1474,284010,91442590,841,666,827,755,841,35844765,4891,216,314,287,266,218
18년07월,86489690,163436,466443,136522350,27228000,1840,302950,115067680,1086,890,1063,984,1086,50032660,4706,218,304,313,304,347
18년08월,98299650,124259,790390,153315250,30263520,2068,401930,129908940,1215,1036,1187,1106,1215,55015600,4706,218,304,313,304,347
18년09월,77811770,63159,1196274,119924200,21716600,1578,271100,98327300,919,797,897,826,919,42112430,4706,218,304,313,304,347
18년10월,113505140,76738,1296294,178635160,30737470,2423,267400,156262260,1492,1269,1450,1364,1492,65130020,4182,302,375,426,409,498
18년11월,127809480,29630,1746970,198416705,34175700,2610,81390,172555240,1665,1396,1619,1514,1665,70607225,4182,302,375,426,409,498
18년12월,144169880,70405,2950431,229177020,40935680,2977,861810,194042070,1642,1702,1607,1481,1642,85007140,4182,302,375,426,409,498
19년01월,193299910,208298,3598431,309418350,56434880,4069,948940,252965000,2057,2273,2005,1876,2057,116118440,3720,485,395,491,542,558
19년02월,152189130,175474,2286529,216943430,15137300,3239,515540,187555280,1677,1999,1643,1536,1677,64754300,3720,485,395,491,542,558
19년03월,185547960,172971,3442540,246386820,0,4082,440100,213342950,2038,2416,1991,1889,2038,60838860,3720,485,395,491,542,558
19년04월,217142710,587704,3631317,292607800,11216590,4775,598500,234679090,2178,2653,2135,2009,2178,75465090,4070,507,379,440,408,388
19년05월,191395080,1266928,2731478,256434530,149220,4215,321460,213397920,2076,2450,2019,1930,2073,65039450,4070,507,379,440,408,388
19년06월,394900,0,0,541170,0,9,0,496170,3,7,3,2,3,146270,4070,507,379,440,408,388
