주문분기,총공급원가,네이버 포인트,사용한 적립금액,상품구매금액,상품별 추가할인금액,수량,쿠폰 할인금액,판매가,한식,중식,양식,일식,분식,상품판매이익,zero,one,two,three,four,five
17년1분기,2815840,0,0,3556550,0,51,133000,3286550,39,27,34,27,39,740710,6138,33,13,4,4,0
17년2분기,8261730,64673,18558,11106340,497020,179,201000,10282270,107,83,92,86,107,2844610,6048,74,37,15,13,5
17년3분기,17791730,18223,134642,25787030,1542670,491,178000,21337930,162,130,139,131,162,7995300,6019,66,41,24,25,17
17년4분기,30779310,243506,842864,44469930,4790880,646,0,37743940,412,309,382,322,412,13690620,5901,86,93,46,43,23
18년1분기,84059900,30943,1198009,118275375,9188940,1623,259590,104465730,1174,798,1138,975,1174,34215475,5601,135,151,112,118,75
18년2분기,190506280,244032,1389603,285634740,52316200,4016,1346490,242876790,2300,1852,2248,2044,2300,95128460,4891,216,314,287,266,218
18년3분기,262601110,350854,2453107,409761800,79208120,5486,975980,343303920,3220,2723,3147,2916,3220,147160690,4706,218,304,313,304,347
18년4분기,385484500,176773,5993695,606228885,105848850,8010,1210600,522859570,4799,4367,4676,4359,4799,220744385,4182,302,375,426,409,498
19년1분기,531037000,556743,9327500,772748600,71572180,11390,1904580,653863230,5772,6688,5639,5301,5772,241711600,3720,485,395,491,542,558
19년2분기,408932690,1854632,6362795,549583500,11365810,8999,919960,448573180,4257,5110,4157,3941,4254,140650810,4070,507,379,440,408,388
