,Unnamed: 0,Unnamed: 0.1,공급사,과세/면세,담기,매입가,상품명(기본),상품코드,재입고알림,제조사,카테고리,reg_카테고리,대분류,판매가,품절여부,후기
26,26,26,패커스,과세,0,10700,포모나 카라멜향시럽 1L 1개 (낱개상품),2142,사용안함,카파아이엔티,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005002 : 식자재 > 카페 식재료 > 시럽류
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007002 : NEW > 식자재 > 카페 식재료 > 시럽류
061024 : vol.4 Catalogue > 카달로그_4",식자재 시럽류 카페 식재료,카페,11400,정상,0
92,92,93,패커스,과세,0,22400,델라 빙수떡 220g 20개 (박스 상품),2073,사용안함,델라,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005008 : 식자재 > 카페 식재료 > 빙수류
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007008 : NEW > 식자재 > 카페 식재료 > 빙수류",식자재 카페 빙수류 식재료,카페,26000,정상,0
96,96,97,패커스,과세,0,2820,르씨엘 레몬 후르츠 946ml 1개 (낱개 상품),2068,사용안함,수입,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005002 : 식자재 > 카페 식재료 > 시럽류
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007002 : NEW > 식자재 > 카페 식재료 > 시럽류",식자재 시럽류 카페 식재료,카페,3000,정상,0
97,97,98,패커스,과세,0,1120,엘막 레몬쥬스(5배농축) 200ml 1개 (낱개 상품),2067,사용안함,수입,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005002 : 식자재 > 카페 식재료 > 시럽류
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007002 : NEW > 식자재 > 카페 식재료 > 시럽류",식자재 시럽류 카페 식재료,카페,1210,정상,0
146,146,147,패커스,과세,0,38760,아주쿡 골드 후르츠 칵테일 3.05kg 6캔 (박스 상품),2017,사용안함,오성푸드,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005008 : 식자재 > 카페 식재료 > 빙수류
050007 : 식자재 > 태국/베트남 식자재
050007008 : 식자재 > 태국/베트남 식자재 > 캔류/병류
026 : NEW
026010 : NEW > 식자재
026010005 : NEW > 식자재 > 태국/베트남 식자재
026010005008 : NEW > 식자재 > 태국/베트남 식자재 > 캔류/병류
026010007 : NEW > 식자재 > 카페 식재료
026010007008 : NEW > 식자재 > 카페 식재료 > 빙수류",캔류 태국 식자재 빙수류 병류 카페 베트남 식재료,카페,41700,정상,0
158,158,159,패커스,과세,0,12300,모닌 블루베리시럽 1L (낱개 상품),2005,사용안함,모닌,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005002 : 식자재 > 카페 식재료 > 시럽류
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007002 : NEW > 식자재 > 카페 식재료 > 시럽류",식자재 시럽류 카페 식재료,카페,13000,정상,0
163,163,164,패커스,과세,0,7000,성진 이스트 60g 5개이상 (낱개 상품),1999,사용안함,성진,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005006 : 식자재 > 카페 식재료 > 파우더
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007006 : NEW > 식자재 > 카페 식재료 > 파우더",파우더 식자재 카페 식재료,카페,9500,정상,0
173,173,174,패커스,과세,0,580,성진 베이킹파우더 150g 1개 (낱개 상품),1989,사용안함,성진,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005006 : 식자재 > 카페 식재료 > 파우더
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007006 : NEW > 식자재 > 카페 식재료 > 파우더",파우더 식자재 카페 식재료,카페,700,정상,0
177,177,178,패커스,과세,0,6800,성진 뉴슈가 60g 20개이상 (낱개 상품),1985,사용안함,성진,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005006 : 식자재 > 카페 식재료 > 파우더
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007006 : NEW > 식자재 > 카페 식재료 > 파우더",파우더 식자재 카페 식재료,카페,8000,정상,0
197,197,198,패커스,과세,0,26500,빅트레인 바닐라 라떼 1.59kg 1개 (낱개 상품),1954,사용안함,수입,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005006 : 식자재 > 카페 식재료 > 파우더",파우더 식자재 카페 식재료,카페,28000,정상,0
198,198,199,패커스,과세,0,26500,빅트레인 초컬릿 민트향 믹스 1.59kg 1개 (낱개 상품),1953,사용안함,수입,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005006 : 식자재 > 카페 식재료 > 파우더",파우더 식자재 카페 식재료,카페,28000,정상,0
199,199,200,패커스,과세,0,26500,빅트레인 자바칩 믹스 1.59kg 1개 (낱개 상품),1952,사용안함,수입,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005006 : 식자재 > 카페 식재료 > 파우더",파우더 식자재 카페 식재료,카페,28000,정상,0
200,200,201,패커스,과세,0,3220,유안 매실차 900g 1개 (낱개 상품),1951,사용안함,유안종합식품,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005001 : 식자재 > 카페 식재료 > 커피, 티","식자재 커피, 카페 티 식재료",카페,3500,정상,0
201,201,202,패커스,과세,0,3220,유안 복숭아홍차 900g 1개 (낱개 상품),1950,사용안함,유안종합식품,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005001 : 식자재 > 카페 식재료 > 커피, 티","식자재 커피, 카페 티 식재료",카페,3500,정상,0
202,202,203,패커스,과세,0,3000,유안 율무차 1kg 1개 (낱개 상품),1949,사용안함,유안종합식품,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005001 : 식자재 > 카페 식재료 > 커피, 티","식자재 커피, 카페 티 식재료",카페,3200,정상,0
203,203,204,패커스,과세,0,3220,유안 생강차 900g 1개 (낱개 상품),1948,사용안함,유안종합식품,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005001 : 식자재 > 카페 식재료 > 커피, 티","식자재 커피, 카페 티 식재료",카페,3400,정상,0
204,204,205,패커스,과세,0,2800,유안 유자차 900g 1개 (낱개 상품),1947,사용안함,유안종합식품,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005001 : 식자재 > 카페 식재료 > 커피, 티","식자재 커피, 카페 티 식재료",카페,3000,정상,0
205,205,206,패커스,과세,0,2670,유안 코코아차 900g 1개 (낱개 상품),1946,사용안함,유안종합식품,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005001 : 식자재 > 카페 식재료 > 커피, 티","식자재 커피, 카페 티 식재료",카페,2900,정상,0
206,206,207,패커스,과세,0,3170,유안 대추차 900g (낱개 상품),1945,사용안함,유안종합식품,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005001 : 식자재 > 카페 식재료 > 커피, 티","식자재 커피, 카페 티 식재료",카페,3400,정상,0
207,207,208,패커스,과세,0,3320,유안 레몬홍차 900g 1개 (낱개 상품),1944,사용안함,유안종합식품,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005001 : 식자재 > 카페 식재료 > 커피, 티","식자재 커피, 카페 티 식재료",카페,3500,정상,0
