,Unnamed: 0,Unnamed: 0.1,공급사,과세/면세,담기,매입가,상품명(기본),상품코드,재입고알림,제조사,카테고리,reg_카테고리,대분류,판매가,품절여부,후기
0,0,0,패커스,과세,0,55440,"실링용기 71호 백색 2,200ml 400개 1박스",2184,사용함,자체제작,"018 : 실링용기
018002 : 실링용기 > 2319(2318)시리즈
042 : 실링제품
042001 : 실링제품 > 실링용기
061 : vol.4 Catalogue
061012 : vol.4 Catalogue > 카달로그_12",2319(2318)시리즈 실링용기 실링제품,실링제품,77480,정상,0
667,667,670,패커스,과세,0,67320,실링용기 19155-2A 투톤 900개 1박스,1391,사용함,자체제작,"042 : 실링제품
042001 : 실링제품 > 실링용기",실링용기 실링제품,실링제품,96000,정상,0
668,668,671,패커스,과세,0,67320,실링용기 19155-2B 투톤 900개 1박스,1390,사용함,자체제작,"042 : 실링제품
042001 : 실링제품 > 실링용기",실링용기 실링제품,실링제품,96000,정상,0
669,669,672,패커스,과세,0,57420,실링용기 19153-5A 투톤 900개 1박스,1389,사용함,자체제작,"042 : 실링제품
042001 : 실링제품 > 실링용기",실링용기 실링제품,실링제품,83000,정상,0
706,706,709,패커스,과세,0,59840,"실링용기 1호 검정 1,350ml 800개 1박스",1318,사용함,자체제작,"042 : 실링제품
042001 : 실링제품 > 실링용기
061 : vol.4 Catalogue
061012 : vol.4 Catalogue > 카달로그_12",실링용기 실링제품,실링제품,76080,정상,0
707,707,710,패커스,과세,2,51040,"실링용기 2호 검정 1,000ml 800개 1박스",1317,사용함,자체제작,"042 : 실링제품
042001 : 실링제품 > 실링용기
061 : vol.4 Catalogue
061012 : vol.4 Catalogue > 카달로그_12",실링용기 실링제품,실링제품,67800,정상,0
708,708,711,패커스,과세,9,51480,"실링용기 3호 검정 650ml 1,200개 1박스",1316,사용함,자체제작,"042 : 실링제품
042001 : 실링제품 > 실링용기
061 : vol.4 Catalogue
061012 : vol.4 Catalogue > 카달로그_12",실링용기 실링제품,실링제품,67650,정상,0
709,709,712,패커스,과세,10,50160,"실링용기 3-5호 검정 500ml 1,200개 1박스",1315,사용함,자체제작,"042 : 실링제품
042001 : 실링제품 > 실링용기
061 : vol.4 Catalogue
061012 : vol.4 Catalogue > 카달로그_12",실링용기 실링제품,실링제품,69780,정상,1
710,710,713,패커스,과세,4,43120,실링용기 2-5호 (21호) 검정 900ml 800개 1박스,1314,사용함,자체제작,"042 : 실링제품
042001 : 실링제품 > 실링용기
061 : vol.4 Catalogue
061012 : vol.4 Catalogue > 카달로그_12",실링용기 실링제품,실링제품,56890,정상,4
711,711,714,패커스,과세,6,43120,실링용기 2-5호 (21호) 백색 900ml 800개 1박스,1312,사용함,자체제작,"042 : 실링제품
042001 : 실링제품 > 실링용기
061 : vol.4 Catalogue
061012 : vol.4 Catalogue > 카달로그_12",실링용기 실링제품,실링제품,56890,정상,1
725,725,728,패커스,과세,0,15000,소량 실링용기 70-2A 백색 50개,1273,사용함,자체제작,"042 : 실링제품
042001 : 실링제품 > 실링용기",실링용기 실링제품,실링제품,15500,정상,0
790,790,793,패커스,과세,0,27000,[201H 몰드 추가 구매],1133,사용함,자체제작,"042 : 실링제품
042002 : 실링제품 > 실링기계",실링기계 실링제품,실링제품,44000,정상,0
791,791,794,패커스,과세,0,258500,실링기계 201H 수동 식품포장 몰드교체형 몰드1개포함,1132,사용함,자체제작,"042 : 실링제품
042002 : 실링제품 > 실링기계",실링기계 실링제품,실링제품,350000,정상,0
792,792,795,패커스,과세,3,324500,실링기계 250 수동 식품포장 몰드교체형 몰드1개포함,1131,사용함,자체제작,"042 : 실링제품
042002 : 실링제품 > 실링기계",실링기계 실링제품,실링제품,400000,정상,0
819,819,822,패커스,과세,10,51040,"실링용기 2호 백색 1,000ml 800개 1박스",966,사용함,자체제작,"042 : 실링제품
042001 : 실링제품 > 실링용기
061 : vol.4 Catalogue
061012 : vol.4 Catalogue > 카달로그_12",실링용기 실링제품,실링제품,67800,정상,6
820,820,823,패커스,과세,1,52800,"실링용기 2호 노랑 1,000ml 800개 1박스",964,사용함,자체제작,"042 : 실링제품
042001 : 실링제품 > 실링용기",실링용기 실링제품,실링제품,67780,정상,3
821,821,824,패커스,과세,11,51480,"실링용기 3호 백색 650ml 1,200개 1박스",962,사용함,자체제작,"042 : 실링제품
042001 : 실링제품 > 실링용기
061 : vol.4 Catalogue
061012 : vol.4 Catalogue > 카달로그_12",실링용기 실링제품,실링제품,67650,정상,10
822,822,825,패커스,과세,0,52800,"실링용기 3호 노랑 600ml 1,200개 1박스",960,사용함,자체제작,"042 : 실링제품
042001 : 실링제품 > 실링용기",실링용기 실링제품,실링제품,67650,정상,0
823,823,826,패커스,과세,1,118800,실링용기 3-5A 세트 백색 5칸 800개 뚜껑 포함 2박스,958,사용함,자체제작,"042 : 실링제품
042001 : 실링제품 > 실링용기",실링용기 실링제품,실링제품,107820,정상,0
824,824,827,패커스,과세,4,50160,"실링용기 3-5호 백색 500ml 1,200개 1박스",957,사용함,자체제작,"042 : 실링제품
042001 : 실링제품 > 실링용기
061 : vol.4 Catalogue
061012 : vol.4 Catalogue > 카달로그_12",실링용기 실링제품,실링제품,69780,정상,5
825,825,828,패커스,과세,1,52800,"실링용기 3-5호 노랑 500ml 1,200개 1박스",956,사용함,자체제작,"042 : 실링제품
042001 : 실링제품 > 실링용기",실링용기 실링제품,실링제품,69750,정상,2
826,826,829,패커스,과세,0,82500,실링용기 14호 백색 300개 1박스,954,사용함,자체제작,"042 : 실링제품
042001 : 실링제품 > 실링용기",실링용기 실링제품,실링제품,104600,정상,0
827,827,830,패커스,과세,0,72600,실링용기 15호 백색 200개 1박스,953,사용함,자체제작,"042 : 실링제품
042001 : 실링제품 > 실링용기",실링용기 실링제품,실링제품,98050,정상,0
828,828,831,패커스,과세,1,83600,실링용기 16호 백색 200개 1박스,952,사용함,자체제작,"042 : 실링제품
042001 : 실링제품 > 실링용기",실링용기 실링제품,실링제품,109850,정상,0
829,829,832,패커스,과세,2,44000,실링용기 2-5호 (21호) 노랑 900ml 800개 1박스,949,사용함,자체제작,"042 : 실링제품
042001 : 실링제품 > 실링용기",실링용기 실링제품,실링제품,56550,정상,4
830,830,833,패커스,과세,0,52800,실링용기 21-2A 백색 2칸 800개 1박스,948,사용함,자체제작,"042 : 실링제품
042001 : 실링제품 > 실링용기",실링용기 실링제품,실링제품,67250,정상,0
831,831,834,패커스,과세,0,105600,실링용기 2116-5A 세트 백색 5칸 800개 뚜껑 포함 2박스,947,사용함,자체제작,"042 : 실링제품
042001 : 실링제품 > 실링용기",실링용기 실링제품,실링제품,155900,정상,0
832,832,835,패커스,과세,0,45320,실링용기 23194-5A 백색 5칸 400개 1박스,946,사용함,자체제작,"042 : 실링제품
042001 : 실링제품 > 실링용기",실링용기 실링제품,실링제품,63930,정상,0
833,833,836,패커스,과세,2,45320,"실링용기 23195 백색 1,500ml 400개 1박스",945,사용함,자체제작,"042 : 실링제품
042001 : 실링제품 > 실링용기",실링용기 실링제품,실링제품,63930,정상,2
834,834,837,패커스,과세,1,47520,"실링용기 23197 백색 2,000ml 400개 1박스",944,사용함,자체제작,"042 : 실링제품
042001 : 실링제품 > 실링용기",실링용기 실링제품,실링제품,66830,정상,0
835,835,838,패커스,과세,0,60280,"실링용기 23199 백색 2,500ml 400개 1박스",943,사용함,자체제작,"042 : 실링제품
042001 : 실링제품 > 실링용기",실링용기 실링제품,실링제품,83870,정상,0
836,836,839,패커스,과세,0,89100,"실링용기 32호 반투명 2,000ml 600개 1박스",942,사용함,자체제작,"036 : 임시카테고리
042 : 실링제품
042001 : 실링제품 > 실링용기",실링용기 임시카테고리 실링제품,실링제품,131300,정상,0
837,837,840,패커스,과세,0,68200,"실링용기 33호 반투명 3,000ml 400개 1박스",941,사용함,자체제작,"018 : 실링용기
018003 : 실링용기 > 실링특대형
042 : 실링제품
042001 : 실링제품 > 실링용기",실링특대형 실링용기 실링제품,실링제품,102000,정상,0
838,838,841,패커스,과세,1,69300,"실링용기 35호 반투명 5,000ml 300개 1박스",940,사용함,자체제작,"018 : 실링용기
018003 : 실링용기 > 실링특대형
042 : 실링제품
042001 : 실링제품 > 실링용기",실링특대형 실링용기 실링제품,실링제품,104000,정상,0
839,839,842,패커스,과세,0,77550,"실링용기 36호 반투명 7,000ml 300개 1박스",939,사용함,자체제작,"018 : 실링용기
018003 : 실링용기 > 실링특대형
042 : 실링제품
042001 : 실링제품 > 실링용기",실링특대형 실링용기 실링제품,실링제품,115800,정상,0
840,840,843,패커스,과세,1,58740,실링용기 69호 백색 800ml 600개 1박스,938,사용함,자체제작,"042 : 실링제품
042001 : 실링제품 > 실링용기
061 : vol.4 Catalogue
061012 : vol.4 Catalogue > 카달로그_12",실링용기 실링제품,실링제품,81840,정상,0
841,841,844,패커스,과세,1,60720,"실링용기 70호 백색 1,000ml 600개 1박스",937,사용함,자체제작,"018 : 실링용기
018002 : 실링용기 > 2319(2318)시리즈
042 : 실링제품
042001 : 실링제품 > 실링용기
061 : vol.4 Catalogue
061012 : vol.4 Catalogue > 카달로그_12",2319(2318)시리즈 실링용기 실링제품,실링제품,84500,정상,2
842,842,845,패커스,과세,0,64680,"실링용기 70호 검정 1,000ml 600개 1박스",936,사용함,자체제작,"018 : 실링용기
018002 : 실링용기 > 2319(2318)시리즈
042 : 실링제품
042001 : 실링제품 > 실링용기",2319(2318)시리즈 실링용기 실링제품,실링제품,90440,정상,0
843,843,846,패커스,과세,0,64200,실링용기 70-5A 백색 5칸 600개 1박스,933,사용함,자체제작,"018 : 실링용기
018002 : 실링용기 > 2319(2318)시리즈
018004 : 실링용기 > 칸나눔용기
042 : 실링제품
042001 : 실링제품 > 실링용기",2319(2318)시리즈 실링용기 칸나눔용기 실링제품,실링제품,82030,정상,0
844,844,847,패커스,과세,0,58850,실링용기 84-2A 백색 2칸 500개 1박스,932,사용함,자체제작,"018 : 실링용기
018002 : 실링용기 > 2319(2318)시리즈
018004 : 실링용기 > 칸나눔용기
042 : 실링제품
042001 : 실링제품 > 실링용기",2319(2318)시리즈 실링용기 칸나눔용기 실링제품,실링제품,76000,정상,0
845,845,848,패커스,과세,0,55440,"실링용기 71호 백색 2,200ml 400개 1박스",931,사용함,자체제작,"018 : 실링용기
018002 : 실링용기 > 2319(2318)시리즈
042 : 실링제품
042001 : 실링제품 > 실링용기
061 : vol.4 Catalogue
061012 : vol.4 Catalogue > 카달로그_12",2319(2318)시리즈 실링용기 실링제품,실링제품,77480,정상,0
846,846,849,패커스,과세,4,55550,"실링용기 84호 백색 1,500ml 500개 1박스",928,사용함,자체제작,"018 : 실링용기
018002 : 실링용기 > 2319(2318)시리즈
042 : 실링제품
042001 : 실링제품 > 실링용기
061 : vol.4 Catalogue
061012 : vol.4 Catalogue > 카달로그_12",2319(2318)시리즈 실링용기 실링제품,실링제품,77630,정상,1
847,847,850,패커스,과세,2,58850,"실링용기 84호 검정 1,500ml 500개 1박스",927,사용함,자체제작,"018 : 실링용기
018002 : 실링용기 > 2319(2318)시리즈
042 : 실링제품
042001 : 실링제품 > 실링용기",2319(2318)시리즈 실링용기 실링제품,실링제품,82580,정상,0
849,849,852,패커스,과세,0,220000,실링기계 푸디 수동 식품포장 몰드교체형 몰드1개포함,812,사용함,자체제작,"019 : 실링기계
042 : 실링제품
042002 : 실링제품 > 실링기계",실링기계 실링제품,실링제품,320000,정상,0
934,934,937,패커스,과세,0,96800,실링용기 2호 세트 노랑 800개 뚜껑 포함 2박스,327,사용함,자체제작,"042 : 실링제품
042001 : 실링제품 > 실링용기",실링용기 실링제품,실링제품,120800,정상,0
935,935,938,패커스,과세,0,105600,실링용기 1호 세트 노랑 800개 뚜껑 포함 2박스,323,사용함,자체제작,"042 : 실링제품
042001 : 실링제품 > 실링용기",실링용기 실링제품,실링제품,166100,정상,0
936,936,939,패커스,과세,0,70620,실링용기 70-2A 백색 600개 1박스,317,사용함,자체제작,"042 : 실링제품
042001 : 실링제품 > 실링용기",실링용기 실링제품,실링제품,97680,정상,0
937,937,940,패커스,과세,0,52800,PET 실링용기 2116-5A 전용뚜껑 800개 1박스,313,사용함,자체제작,"042 : 실링제품
042001 : 실링제품 > 실링용기",실링용기 실링제품,실링제품,83050,정상,0
938,938,941,패커스,과세,0,52800,실링용기 2116-5A 백색 800개 1박스,311,사용함,자체제작,"042 : 실링제품
042001 : 실링제품 > 실링용기",실링용기 실링제품,실링제품,83050,정상,0
939,939,942,패커스,과세,0,6820,실링용기 3-5A 백색 5칸 100개 1박스,296,사용함,자체제작,"042 : 실링제품
042001 : 실링제품 > 실링용기",실링용기 실링제품,실링제품,14410,정상,0
940,940,943,패커스,과세,0,52800,실링용기 3-5A 백색 5칸 800개 1박스,295,사용함,자체제작,"042 : 실링제품
042001 : 실링제품 > 실링용기",실링용기 실링제품,실링제품,83050,정상,0
941,941,944,패커스,과세,0,36300,285 실링필름 Hold 285mm x 200 meter 투명 무지 2롤 1박스,258,사용함,자체제작,"042 : 실링제품
042003 : 실링제품 > 실링필름
061 : vol.4 Catalogue
061012 : vol.4 Catalogue > 카달로그_12",실링필름 실링제품,실링제품,44260,정상,0
942,942,945,패커스,과세,0,29700,245 실링필름 Hold 245mm x 200 meter 투명 무지 2롤 1박스,256,사용함,자체제작,"042 : 실링제품
042003 : 실링제품 > 실링필름
061 : vol.4 Catalogue
061012 : vol.4 Catalogue > 카달로그_12",실링필름 실링제품,실링제품,41830,정상,0
943,943,946,패커스,과세,0,44880,200 실링필름 Hold 200mm x 200 meter 투명 무지 4롤 1박스,254,사용함,자체제작,"042 : 실링제품
042003 : 실링제품 > 실링필름
061 : vol.4 Catalogue
061012 : vol.4 Catalogue > 카달로그_12",실링필름 실링제품,실링제품,63720,정상,0
