,Unnamed: 0,Unnamed: 0.1,공급사,과세/면세,담기,매입가,상품명(기본),상품코드,재입고알림,제조사,카테고리,reg_카테고리,대분류,판매가,품절여부,후기
6,6,6,패커스,과세,0,150000,해농 김밥김 200g x 100매 20개 (박스상품),2176,사용안함,해농,"050 : 식자재
050001 : 식자재 > 한식 식자재
050001012 : 식자재 > 한식 식자재 > 김
026 : NEW
026010 : NEW > 식자재
026010001 : NEW > 식자재 > 한식 식자재
026010001012 : NEW > 식자재 > 한식 식자재 > 김",식자재 한식 김,식자재,159600,정상,0
10,10,10,패커스,과세,0,27000,대천맛김 왕가대천 재래전장 20g*3P 12개 (박스상품),2172,사용안함,대천,"050 : 식자재
050001 : 식자재 > 한식 식자재
050001012 : 식자재 > 한식 식자재 > 김
026 : NEW
026010 : NEW > 식자재
026010001 : NEW > 식자재 > 한식 식자재
026010001012 : NEW > 식자재 > 한식 식자재 > 김",식자재 한식 김,식자재,37500,정상,0
11,11,11,패커스,과세,0,21300,대천맛김 왕가대천 파래20단 도시락 4.5g x 20p 5개 (박스상품),2171,사용안함,대천,"050 : 식자재
050001 : 식자재 > 한식 식자재
050001012 : 식자재 > 한식 식자재 > 김
026 : NEW
026010 : NEW > 식자재
026010001 : NEW > 식자재 > 한식 식자재
026010001012 : NEW > 식자재 > 한식 식자재 > 김",식자재 한식 김,식자재,30000,정상,0
12,12,12,패커스,과세,0,21300,대천맛김 왕가대천 재래20단 도시락 4.5g x20p 5개 (박스상품),2170,사용안함,대천,"050 : 식자재
050001 : 식자재 > 한식 식자재
050001012 : 식자재 > 한식 식자재 > 김
026 : NEW
026010 : NEW > 식자재
026010001 : NEW > 식자재 > 한식 식자재
026010001012 : NEW > 식자재 > 한식 식자재 > 김",식자재 한식 김,식자재,30000,정상,0
23,23,23,패커스,과세,0,49500,사자표 볶음춘장 2.27kg 6개 (박스상품),2145,사용안함,사자,"050 : 식자재
050002 : 식자재 > 중식 식자재
050002002 : 식자재 > 중식 식자재 > 장류",식자재 장류 중식,식자재,59400,정상,0
24,24,24,패커스,과세,0,27200,사자표 볶음춘장 10kg 1박스,2144,사용안함,사자,"050 : 식자재
050002 : 식자재 > 중식 식자재
050002002 : 식자재 > 중식 식자재 > 장류",식자재 장류 중식,식자재,31900,정상,0
25,25,25,패커스,과세,2,26700,사자표 춘장 14kg 1박스,2143,사용안함,사자,"050 : 식자재
050002 : 식자재 > 중식 식자재
050002002 : 식자재 > 중식 식자재 > 장류
026 : NEW
026010 : NEW > 식자재
026010002 : NEW > 식자재 > 중식 식자재
026010002002 : NEW > 식자재 > 중식 식자재 > 장류
061 : vol.4 Catalogue
061021 : vol.4 Catalogue > 카달로그_1",식자재 장류 중식,식자재,32000,정상,0
29,29,29,패커스,과세,1,18000,샘표 안동찜닭 양념소스 210g 12개 (박스 상품),2138,사용안함,샘표,"050 : 식자재
050001 : 식자재 > 한식 식자재
050001003 : 식자재 > 한식 식자재 > 소스류
026 : NEW
026010 : NEW > 식자재
026010001 : NEW > 식자재 > 한식 식자재
026010001003 : NEW > 식자재 > 한식 식자재 > 소스류
061 : vol.4 Catalogue
061021 : vol.4 Catalogue > 카달로그_1",식자재 한식 소스류,식자재,19000,정상,0
30,30,30,패커스,과세,1,17640,샘표 춘천닭갈비소스180g 12개 (박스 상품),2137,사용안함,샘표,"050 : 식자재
050001 : 식자재 > 한식 식자재
050001003 : 식자재 > 한식 식자재 > 소스류
026 : NEW
026010 : NEW > 식자재
026010001 : NEW > 식자재 > 한식 식자재
026010001003 : NEW > 식자재 > 한식 식자재 > 소스류
061 : vol.4 Catalogue
061021 : vol.4 Catalogue > 카달로그_1",식자재 한식 소스류,식자재,20500,정상,0
31,31,31,패커스,과세,0,33000,샘표중면 900g 15개 (박스 상품),2136,사용안함,샘표,"050 : 식자재
050001 : 식자재 > 한식 식자재
050001006 : 식자재 > 한식 식자재 > 면류
026 : NEW
026010 : NEW > 식자재
026010001 : NEW > 식자재 > 한식 식자재
026010001006 : NEW > 식자재 > 한식 식자재 > 면류
061 : vol.4 Catalogue
061021 : vol.4 Catalogue > 카달로그_1",식자재 한식 면류,식자재,34800,정상,0
32,32,32,패커스,과세,0,26400,샘표소면 900g 15개 (박스 상품),2135,사용안함,샘표,"050 : 식자재
050001 : 식자재 > 한식 식자재
050001006 : 식자재 > 한식 식자재 > 면류
026 : NEW
026010 : NEW > 식자재
026010001 : NEW > 식자재 > 한식 식자재
026010001006 : NEW > 식자재 > 한식 식자재 > 면류
061 : vol.4 Catalogue
061021 : vol.4 Catalogue > 카달로그_1",식자재 한식 면류,식자재,27800,정상,0
33,33,33,패커스,과세,0,26550,샘표 진공소면 900g 15개 (박스 상품),2134,사용안함,샘표,"050 : 식자재
050001 : 식자재 > 한식 식자재
050001006 : 식자재 > 한식 식자재 > 면류
026 : NEW
026010 : NEW > 식자재
026010001 : NEW > 식자재 > 한식 식자재
026010001006 : NEW > 식자재 > 한식 식자재 > 면류
061 : vol.4 Catalogue
061021 : vol.4 Catalogue > 카달로그_1",식자재 한식 면류,식자재,30800,정상,0
34,34,34,패커스,과세,0,14600,천혜식품 제주 섬마을 천사채 1kg 10개 (박스 상품),2133,사용안함,천혜,"050 : 식자재
026 : NEW
061 : vol.4 Catalogue
061023 : vol.4 Catalogue > 카달로그_3",식자재,식자재,16500,정상,0
35,35,35,패커스,과세,0,30750,샘표 한여름눈꽃 꽃소금 3kg 5개 (박스 상품),2132,사용안함,샘표,"050 : 식자재
026 : NEW",식자재,식자재,32900,정상,0
36,36,36,패커스,과세,0,30750,샘표 한여름눈꽃 굵은소금 3kg 5개 (박스 상품),2131,사용안함,샘표,"050 : 식자재
026 : NEW",식자재,식자재,32900,정상,0
