주문자ID,상품구매금액
100304734@n,103300
1003409866@k,4308520
100381931@n,71050
1004498382@k,76400
1004547839@k,360800
1004714862@k,108110
10055065@n,200480
1005540326292754@f,60540
1005861444@k,225070
1005958854@k,135240
100738387@n,93720
100738448@n,57500
1008814431@k,67320
1008831959@k,688540
1009216553@k,320470
1013394725@k,38390
1015593605@k,101310
1017481028@k,78390
101803789@n,104000
102242774@n,49700
1024370257@k,394690
1024429813@k,102190
1024848064@k,66500
102567472@n,153710
10261560@n,495900
102764664@n,56760
1027770506@k,49700
10320819@n,2977610
10359143@n,190970
1036830659@k,683960
1037721908@k,57220
1038355240@k,121920
1038469905@k,160890
1038677707@k,607860
1039558032@k,103300
104005455@n,374870
1040253175@k,264760
10405556@n,95230
1040736983@k,59670
10429360@n,118250
104371081@n,113520
104757296@n,231000
1049809143@k,410830
1050417339@k,74600
1050964496@k,19620
10531439@n,92070
1054591641@k,185790
105511281@n,60280
10572859@n,98560
10579328@n,274680
1057945738@k,115070
1059968519@k,98600
1061248718@k,63070
1061301774@k,182980
106152948@n,77000
1061836677@k,45190
1062076148@k,138890
10686533@n,101640
1069405155@k,100920
10705357@n,87120
1074130640@k,69400
1075139712@k,107970
1076058407@k,285770
107632036@n,918380
1076608997@k,63620
107780155@n,39000
1083107756@k,107210
10834134@n,68970
10843505@n,81600
108612859@n,113380
10874046@n,113720
1087561856@k,61900
1088225570@k,48600
108964404@n,265600
108984515@n,122860
1090570620@k,154410
1090959153@k,172220
1092978360@k,98600
109319048@n,638320
10935096@n,78800
1094652352@k,77000
1094746791@k,300000
109844993@n,99660
10989316@n,81600
10992358@n,550940
109963639@n,159820
11096193@n,118250
11098155@n,55870
111139172@n,60720
111681891@n,773560
11178928@n,43500
11185770@n,73850
111897872@n,123800
11227273@n,70620
112549561@n,348580
112937542@n,133620
11321210@n,640230
113969589@n,1030600
1141025@n,126980
11470195@n,471790
114809986@n,103500
115136874@n,75570
115349556@n,159460
115424915@n,430270
11569157@n,116000
115897476@n,3043770
115929032@n,144230
11599985@n,78760
116083227@n,83550
116175245@n,199400
116235519@n,193760
11625578@n,50160
11673332@n,228360
1169534567@g,649240
11712326@n,347100
117226079@n,48500
117254757@n,654990
117421346@n,53900
119347465@n,292090
12024137@n,130180
1207579@n,1228330
12102532@n,103300
121506699@n,39740
12192782@n,138300
12199150@n,79880
12228241@n,98860
12230507@n,81350
12233673@n,96460
12253377@n,98600
123077344@n,569380
123465082@n,101420
123814931@n,316710
125302599@n,174240
125309226@n,1232450
125361180@n,768330
125650836@n,80450
125880070@n,9360
126004908@n,78870
126051463@n,1105265
12641103@n,1721220
127229908@n,61970
12729895@n,32610
127538389@n,74990
127550622@n,143120
127687613@n,127760
12951288@n,79420
130152621@n,185800
130865688@n,124250
13116190@n,99350
13180696@n,848755
13195891@n,72270
132165967@n,171720
132351155@n,1487770
132532451@n,73850
132656640@n,48500
13337509@n,68200
13382753@n,78870
13405757@n,139340
13435378@n,58410
134513950@n,1120550
135014997@n,126140
135243092@n,51810
13532597@n,578510
135337305@n,77000
13575577@n,183050
136149570@n,259280
13643473@n,57850
137197918@n,148100
138435303@n,131670
138511981@n,2590780
138741549@n,637635
140050498@n,35900
141015665@n,61900
141041106@n,55110
1411590@n,700230
141523440@n,53900
141658082@n,527600
141870846@n,126100
14240808@n,45910
142432057@n,2141330
142524087@n,115800
14256488@n,2715030
14295788@n,3864220
144151978@n,121290
144459612@n,70120
144837068@n,119750
14508436@n,68970
145104924@n,55870
145327106@n,81310
14632589@n,81600
14671857@n,2524570
146783527@n,252940
14694906@n,8615255
1472528@n,118140
147853521@n,126500
14807254@n,101400
148852812@n,69800
149309674@n,125970
149642034@n,465800
150329090@n,60000
1506058@n,106620
15071898@n,132000
15179994@n,91670
151998384@n,202170
152269897@n,980660
152541790@n,296970
15404226@n,78900
15450330@n,98980
15464291@n,12750
154702787@n,57850
155273889@n,61700
155452391@n,55870
15586823@n,636950
1559740@n,40500
156257887@n,98360
156563101@n,59670
15781174@n,523120
158123364@n,624355
158316672@n,103600
158430199@n,202290
15890626@n,57000
159146639@n,37380
16066873@n,1862700
16103428@n,886800
16110019@n,143010
16141130@n,59990
16277220@n,1711340
162886330@n,564430
163724586@n,43030
16389333@n,148060
16398578@n,51500
16409202@n,1712620
1644720635@g,780030
16471396@n,423150
16498660@n,636130
165083981@n,493500
16555569@n,116000
16642165@n,249000
16662876@n,66500
166717847@n,183040
167222579@n,131440
16846690@n,206980
16866241@n,132330
169080863@n,350410
16997600@n,119020
17037228@n,116000
170648925@n,478790
171008117@n,80070
17152071@n,318100
17181616@n,142030
17298547@n,4149905
17341708@n,57850
173754849@n,162490
17404398@n,14000
174691867@n,230010
174946360@n,125630
175486314@n,64070
17689457@n,120000
17758271@n,26780
17819329@n,311650
17884468@n,183050
18177280@n,140660
18287260@n,263160
18465128@n,10000
18583970@n,1094810
18773814@n,51500
18905578@n,102380
18956254@n,242880
19055048@n,193100
19118163@n,362040
19150839@n,4724560
1939269293018887@f,73000
19418408@n,215940
19498788@n,265510
19590526@n,69400
19597837@n,222380
19623619@n,1678310
1963889973925686@f,77370
19653826@n,75820
19803644@n,884620
20163750@n,451220
20234317@n,185700
20258052@n,744140
20371974@n,119020
20373840@n,103300
20452582@n,307350
20478006@n,611200
20549653@n,91350
20571993@n,1018440
20638847@n,157740
20708286@n,72600
20754614@n,11740600
20799169@n,99400
2094005@n,166430
21013121@n,774030
21067862@n,609760
21131213@n,142440
21133407@n,53900
21242084@n,36340
21266583@n,670560
21272456@n,27200
21283584@n,362480
21448642@n,60720
21456663@n,102380
21497179@n,543000
21527884@n,110880
21640514@n,3377530
21766772@n,285130
21774075@n,73000
2178453@n,310750
21844769@n,169770
22054220@n,91820
2208459@n,787050
22100861@n,405130
22274940@n,228100
2234068@n,658100
22348885@n,94000
22395916@n,505340
22496176@n,75520
22508373@n,118470
22524047@n,63070
22571771@n,75070
22645266@n,161390
2271552697@g,96850
23022046@n,590330
23030579@n,238710
23101990@n,1921820
23255580@n,72600
23258478@n,662060
23289197@n,329040
23413512@n,94710
23418630@n,27210
23452818@n,475740
23503202@n,144540
23533593@n,2786460
23559474@n,94130
23844710@n,49700
24051239@n,1938715
24309879@n,37380
24325475@n,67100
24328443@n,131200
251423325601003@f,147760
25236769@n,173580
25345637@n,104480
25420751@n,70620
25430559@n,380400
26059106@n,77000
26066479@n,78650
26138629@n,120000
26192644@n,189920
26517999@n,388200
2657161@n,491600
26606530@n,108000
26627786@n,107910
26636867@n,191570
26694199@n,50600
26778142@n,889590
26791359@n,250050
2699217771@g,345090
27242547@n,430500
27262398@n,68970
27355719@n,207600
27356432@n,449900
27395687@n,60540
27664763@n,481980
27728805@n,463800
27757662@n,87120
27824434@n,858260
27841241@n,91620
27880841@n,66000
27885548@n,149490
27911785@n,107210
27961464@n,93720
2799021015@g,655200
27991824@n,171420
27996447@n,228540
28023986@n,520100
28044895@n,485500
28222224@n,98600
28267472@n,270930
28298793@n,176720
28356238@n,105350
28459323@n,78870
28508849@n,130870
28566606@n,1941760
28601926@n,68970
28659029@n,71650
28810831@n,81620
28953619@n,43030
29011475@n,445580
29016364@n,372900
29056602@n,159770
29466127@n,96900
29496718@n,99300
29522193@n,619420
29841048@n,60540
29885965@n,899100
29905731@n,371340
30089224@n,74600
30110316@n,74930
30304280@n,110500
30346424@n,174200
30436850@n,185480
30493021@n,237570
30766008@n,126190
30988933@n,158520
31026850@n,124250
31373304@n,56760
31386708@n,57900
31413979@n,465970
31422855@n,106340
31446963@n,347510
31524687@n,61970
31573460@n,94020
31739713@n,3847560
31823359@n,302700
31853140@n,568340
31866004@n,103500
32324563@n,53790
32348330@n,475430
32412368@n,61970
32442284@n,66850
32516229@n,128000
32606516@n,107210
32610316@n,341940
32932995@n,145800
32935164@n,129800
33009389@n,201720
33059345@n,137940
33146837@n,52400
33260105@n,88770
33292347@n,195690
33441557@n,1947190
33507452@n,76400
33709872@n,1477280
33742305@n,115650
33757995@n,96000
338230334@g,138270
33882810@n,453390
33918386@n,293000
33999133@n,421290
34044092@n,76100
34074828@n,571350
34109859@n,56100
34392676@n,346110
34394566@n,268430
34501268@n,72600
34593630@n,120000
35071896@n,94600
35178472@n,1021470
35216618@n,414850
35269904@n,151500
35348294@n,88520
35422395@n,359610
35461702@n,103300
35471124@n,623270
35701489@n,206800
35725362@n,403880
35819532@n,103600
35908502@n,544540
35921153@n,86870
36084622@n,51500
36182971@n,61900
36206021@n,110420
36553278@n,2182680
36613291@n,96850
36665931@n,119020
36688399@n,168120
3677659@n,164500
36823075@n,74620
36842945@n,102400
3689638@n,123370
37069659@n,208600
37162097@n,70500
37219605@n,30840
37333478@n,13910
3763470329@g,76400
37885544@n,110880
37937963@n,141940
37950414@n,259770
38082086@n,48500
38101482@n,494555
38159390@n,167910
38186506@n,1194960
38296887@n,757180
38308162@n,81600
38391977@n,97000
38495903@n,39740
38496287@n,98600
38497211@n,142600
38726689@n,123740
38843861@n,1938130
38849329@n,68830
39080330@n,106920
39099980@n,125940
39269920@n,87120
3931530@n,1004730
39397803@n,655320
39444044@n,494160
3947025@n,1157590
39480208@n,52200
39481631@n,177850
39618168@n,379980
39702143@n,229900
39723561@n,151140
39768741@n,147460
39782363@n,121290
39834799@n,741310
39927290@n,117670
39950749@n,340020
39995955@n,125630
4002134@n,148870
4003105@n,494555
40041510@n,413910
40171934@n,20400
40302026@n,123800
40562313@n,37380
40588813@n,236610
40603675@n,368260
40648393@n,138300
40719252@n,3245160
40764722@n,483410
40794022@n,288400
40800836@n,60540
40847704@n,107700
40914620@n,63070
40950692@n,852980
41019075@n,958420
41039885@n,77220
41080646@n,390140
41201175@n,225700
41283655@n,25500
41341740@n,28480
41462566@n,73850
41484162@n,131200
41484517@n,31500
41686987@n,33120
41869019@n,715180
41886130@n,144220
41896913@n,260610
4193960@n,335160
41970519@n,179640
42078672@n,235620
42104878@n,108000
42109135@n,61900
42110592@n,6026520
42299099@n,400320
4231640088@g,764280
42406456@n,562120
42560441@n,87120
42605452@n,149200
42834715@n,91130
42978590@n,60900
43056905@n,121080
43083231@n,130870
43329246@n,25200
43372228@n,120800
43395112@n,1977600
4346273@n,140800
43529410@n,80160
43899750@n,61900
44064303@n,14600
44092007@n,60540
44279617@n,76710
4436463@n,54120
44431031@n,77400
44435012@n,75390
44519760@n,173550
44596724@n,628910
44668767@n,44260
44690382@n,220070
44754863@n,155680
44907709@n,87000
45068058@n,1200400
45068615@n,534650
450740447@k,61470
45098514@n,11560
45126455@n,341280
45217094@n,642940
45404544@n,203280
45569383@n,64910
45589961@n,2339690
45595031@n,447320
45720366@n,159720
45731229@n,153200
45785190@n,305260
45892365@n,403380
46054957@n,1154740
46089170@n,733730
46345529@n,68900
46480665@n,35000
46508403@n,1028700
46778406@n,530400
46873113@n,85440
46948944@n,48500
47130998@n,1723360
47155341@n,450600
47260464@n,289710
47545621@n,55100
47548682@n,50160
47595983@n,74000
47650598@n,449670
47722487@n,3529190
47735407@n,162940
47802569@n,246290
47803321@n,1682190
47911020@n,133220
48037405@n,70620
48174795@n,298070
48233155@n,85800
48282501@n,85400
48298228@n,371620
48351688@n,138300
48358240@n,23500
48396991@n,48500
48447276@n,332440
4854948@n,122200
48815922@n,53900
48867707@n,93000
49103847@n,257640
49229128@n,187220
49263438@n,87000
4968632@n,108900
49701321@n,749320
49797192@n,5686340
49802883@n,57850
49863595@n,233030
49889699@n,278100
50015450@n,613900
50032252@n,119750
50221928@n,253440
50241792@n,3215400
50345038@n,88520
50396894@n,44500
50396981@n,1396730
50465325@n,168300
50598878@n,423750
50745962@n,202330
50910584@n,16500
5109851@n,93720
51148242@n,261200
51167153@n,30680
51353469@n,155420
51502780@n,38730
51554848@n,96460
51666751@n,293350
51743951@n,226800
51754872@n,85800
51775030@n,61900
51824991@n,142900
51885479@n,301780
51974769@n,132200
52001112@n,810820
52125248@n,88520
52318967@n,132500
5255348@n,232000
52558399@n,243270
52774917@n,201460
52808187@n,178640
52978685@n,58380
52982491@n,97870
53100435@n,3290855
53202328@n,513090
53248196@n,96850
5358906@n,45910
53602702@n,1502740
53651759@n,25920
53862103@n,76000
5391700@n,154500
5403009@n,68970
54032574@n,254980
5434176@n,235790
54357079@n,103300
54501023@n,14930
5456796@n,311010
5458003@n,173740
54641670@n,162720
54811415@n,117770
54889405@n,1205260
54975165@n,177990
55059643@n,1327450
552629685@k,78100
55393051@n,73350
55455407@n,118250
55608848@n,63950
565698760@k,172080
5664820@n,440520
5688552@n,61700
57099618@n,235800
57144161@n,97000
5715842@n,82000
573846735@k,136180
57515023@n,67320
57673820@n,3851280
576879011@k,147400
57815426@n,138770
57818091@n,203710
59526758@n,8330
59546668@n,494555
59556091@n,240400
59650269@n,795340
6-17,98000
60059499@n,117840
60379776@n,281280
60427048@n,108900
60637219@n,20650
60778443@n,640350
60947402@n,117100
6103087@n,181620
61316204@n,105890
61321635@n,188670
61395192@n,82600
61428191@n,436500
61573196@n,1145620
61689436@n,76400
6171754@n,176300
62229278@n,50160
62426750@n,138270
62497813@n,453440
63063859@n,56760
63083356@n,91750
63447140@n,118250
63789279@n,2727860
6413062@n,104600
6426783@n,179010
64326085@n,38320
64344790@n,278040
64402752@n,91520
64475066@n,72000
64636230@n,128380
64706029@n,3289830
64788729@n,880120
6484166@n,72270
64954838@n,303280
65064455@n,238600
6507174@n,92520
65162110@n,208670
6518274@n,75570
65356730@n,121080
65396124@n,285290
65429523@n,138810
65977612@n,69400
66020074@n,51500
6617981@n,346720
6629716@n,188290
6676180@n,63070
66860271@n,208140
669481473@k,49200
66964050@n,376280
6703960@n,199290
67115101@n,109080
67243973@n,185790
67342257@n,119750
67654387@n,70420
6768251@n,159540
67767521@n,168640
6805052@n,70620
68196941@n,55500
68278982@n,1690490
68381486@n,10000
68412821@n,48500
68493590@n,173990
68604579@n,431000
69025856@n,249480
69068774@n,173000
69110779@n,224370
693513408@k,275880
696199476@k,56980
69772226@n,174360
69990481@n,88120
7-86,101640
702634440@k,66920
70365707@n,59990
70411711@n,48500
706350729@k,107800
710566981@k,555600
712493930@k,31900
715493328@k,77000
71604921@n,18300
71651315@n,97870
72021460@n,87200
72221688@n,69450
725940428@k,117300
72911069@n,91350
7293615@n,184400
73058186@n,391110
73072838@n,60540
73276386@n,239250
73359365@n,3190650
7377064@n,27000
738099031@k,216800
738194087@k,72000
73884632@n,320210
73987748@n,628130
74056049@n,51700
74184383@n,177100
74190198@n,211740
74352170@n,67780
743864766@k,85920
74496619@n,200360
746581970@k,251040
746642357@k,216000
747523174@k,53000
7478639@n,222460
747884015@k,563720
75126614@n,609720
75234840@n,78870
752420728@k,73000
75243761@n,406610
75413424@n,143720
75488040@n,85470
755088500@k,1039290
757461477@k,128210
75797173@n,156130
758664939@k,55500
760746334@k,9000
76078273@n,103920
76136945@n,64070
761422337@k,2157200
765112821@k,370000
765653520@k,103500
765800687@k,73000
768507035@k,638030
7690635@n,93720
770091528@k,73910
77030725@n,235800
7724500@n,70500
773599503@k,60540
77409020@n,35900
77630455@n,53900
776646558@k,28514575
778055774@k,6902100
77855238@n,307070
779262963@k,353740
7801314@n,79090
781629318@k,75390
781996112@k,6576560
782842728@k,75390
78288730@n,711040
7837555@n,171850
784075601@k,134390
78451313@n,120780
785472802@k,360090
785990774@k,7903800
7861712@n,103720
788781573@k,109100
788994565@k,3414890
792404936@k,135880
793067000@k,138520
7941047@n,325700
79567090@n,55000
795681174@k,285680
796104071@k,30840
796979230@k,249290
7984963@n,93720
7993775@n,344700
801638751@k,391420
801702342@k,30180
805781412@k,1024380
807833417@k,122200
80804544@n,55500
8088318@n,109200
809047825@k,1935460
809098965@k,122200
809774937@k,894000
811245723@k,2692580
81130685@n,127250
814509971@k,94790
81573912@n,908730
816155772@k,126480
81665195@n,363820
817901922@k,166720
82371989@n,214110
8238362@n,68130
82390480@n,573050
8305754@n,70000
83467816@n,24200
8350037@n,133160
83593514@n,2484590
8409848@n,154740
84155958@n,61900
85404462@n,153760
85444883@n,48500
8545991@n,83360
85623338@n,44500
85643404@n,3292700
85863451@n,32220
85948060@n,57850
8615964@n,711760
86166543@n,57000
86250212@n,188040
8633827@n,420240
8677928@n,49700
8687447@n,234710
86900945@n,73750
86963208@n,76400
8719356@n,191510
87299329@n,445610
87319171@n,432350
8737385@n,619740
87401086@n,544780
87643796@n,71930
87705099@n,118850
8770967@n,135520
87935351@n,4792030
88045139@n,167970
88341326@n,71490
88741015@n,132290
889086991@k,536370
890268316@k,78800
891238738@k,116350
8914057@n,83730
897986457@k,104600
8981474@n,103620
898773677@k,47700
901614125@k,116880
901614385@k,1226270
901623749@k,780210
901747172@k,29580
90395487@n,60280
905524038@k,194760
908029973@k,1996410
90873546@n,561040
90994631@n,231600
911962415@k,107900
912391343@k,258340
915132506@k,122430
91559380@n,230500
91747056@n,73920
918329215@k,119020
92255506@n,129240
92281926@n,30840
92371262@n,63950
925917298@k,71450
925917475@k,82170
928259480@k,817740
930724493@k,20460
93174633@n,10060260
93191608@n,156040
93193929@n,65670
932126266@k,30060
932350774@k,768650
932518169@k,999430
93355900@n,75570
934361681@k,83050
93474574@n,68970
934906156@k,8655425
935935829@g,3741460
938522893019818@f,110220
93928578@n,133220
93952476@n,1859570
939682576@k,68970
942425418@k,169290
943279633@k,285960
944325@n,195740
94527298@n,209440
945346728@k,2685310
94558355@n,149490
945826966@k,4093850
948605856@k,22580
949282267@k,78870
94966898@n,177040
950092856@k,1219920
950216470@k,211530
951532005@k,79730
9518914@n,6255620
95227695@n,127060
952670172@k,1091060
953461851@k,258160
9537840@n,78800
95387633@n,99350
95419999@n,269020
95477295@n,118970
95728621@n,130870
957607438@k,72270
95839389@n,264770
959706425@k,157740
96155729@n,325400
9615872@n,279960
962450488@k,1156340
9634207@n,158670
963658926@k,61710
964941017@k,348790
9659602@n,102500
966105191@k,56760
96616587@n,544280
96759201@n,77370
96846349@n,121080
97013174@n,88550
97483444@n,70620
975456358@k,247070
976632086@k,6114225
97670730@n,753400
977218950@k,72270
97867100@n,73910
980291378@k,372750
982226751@k,1241640
982886566@k,94710
984027113@k,75570
98431717@n,656810
984388558@k,603600
987070232@k,76400
987237750@k,87120
987474474@k,110220
988292951@k,456030
988392103@k,318780
98846956@n,20460
98937774@n,124250
989868507@k,110950
998948808@k,244040
99946891@n,146520
a01025896237,2538860
a01027293223,1572760
a01027616293,49700
a01028582151,206220
a01053972651,1018110
a01056282221,469610
a024027022,258340
a0313733646,77000
a0314337004,13802630
a0317893533,551360
a0318673546,303930
a0429359696,448070
a0553671285,945480
a0557631988,182820
a0558820121,286450
a10134,125210
a11250a,632800
a1978cook,585980
a27741102,192500
a2789a,109550
a3053072667,461150
a5729855,123420
a681125,218770
a8299959,107800
a8747,447360
a9716262,1542520
aa8441,1006710
aaa7139,109080
aaaa7871,935310
aaok02044,113300
ab2911,287760
abbdr52c,59670
abooe,83790
ace2277,75820
acehyeone,276020
adelaide09,81600
adidas2644,99660
adjuster93,1510380
adolf7,5482330
aej1292,78870
aerojump,934890
aesol22,77000
agape0828,162000
agnes0014,52800
agu0903,61600
agz0257,2729210
aii7271,188450
aipapa,90750
airboracay,143320
airvirus316,312920
ajaj35,96800
akthd77,374230
aktkgh11,146520
ala0710,595660
